chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,beta,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_beta,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,se_var_inf,theta,var_inf
r2000_c3200,2000,3200,3d,weibull,0.9965933374074989,0.42049630167142676,0.20140954129475744,0.19309625088469995,0.9587244459392754,0.6045269310523202,0.23904604979597088,9.999999999999998,146673.22155820724,,True,82.08009782600038,27938,1.5602633447957506,3.756432382939912,-175.89058450829978,-45.678350450914174,0.1,2.2912778618139957,0.01379453540518017,0.024413634630396475,0.014186286656227187,0.07410729550105506,0.08531400319143219,0.02983049729964095,7.40721953230327,1.973847663703809,0.1730913669415079,4.426341965436297,2.0788592346799972,75.5538367878724,1.973847663703809,0.3690201804578811,82.08009782600038,0.9421580360176172
r2000_c3200,2000,3200,2d,weibull,,1.0788438779490135,,,,0.6103534777370296,0.24046990815938715,9.999999999999998,54170.52777789271,,True,,15220,,3.8500356623680188,,,0.1,1.8865755740780172,,,,,0.08582505196044912,0.015937915885014656,5.578651907833004,,,4.264505443012499,,,,0.53843339275948,,1.9069015685788844
r2000_c3600,2000,3600,3d,powerlaw,0.9608983464097175,nan,0.2174661182921441,0.09232078525152844,0.42452951281129986,0.5607732883500786,0.15727075766326556,,286637.7605293255,,True,84.61828176728899,27938,0.6689384666093341,9.311622962703911,-166.11272542196002,-126.59491104446259,0.1,3.2030892841855385,0.09944194902112861,0.18546487318591895,0.06924348888421088,0.11800570263157738,0.06016253495373764,0.11391460914528517,,4.992049769299219,0.8718297419452111,2.6903957016592703,7.670309102231289,8.422646007386291,4.992049769299219,,95.38171823271101,
r2000_c3600,2000,3600,2d,powerlaw,,nan,,,,0.5988033492917317,0.17949829183881458,,96779.52335244554,,True,,15220,,9.280185200907855,,,0.1,2.521647712267947,,,,,0.12417445625726542,0.07995648782728026,,,,2.5909160964872933,,,,,,
r2000_c3600,2000,3600,3d,weibull,0.9366743864936,0.5089411670007217,0.26833787873286163,0.09626216494597316,0.3587349106303588,0.6112534849487742,0.18327398260490868,9.999999999999812,258748.22906602907,,True,83.68978843886933,27938,0.2903367772444634,9.146885768107355,-164.141855967477,-122.70458417744376,0.1,3.043273865939336,0.11374336791912582,0.24068535185935155,0.08407240710443509,0.23771700906990773,0.14991976683242025,0.08023424924537059,4.748485073340309,5.963617006527553,2.236588130002991,2.684953579056668,212.6639889939769,22.726228099845226,5.963617006527553,0.330969787819376,96.31021156113067,0.9234532712650727
r2000_c3600,2000,3600,2d,weibull,,1.4528631483144567,,,,0.598803415881476,0.17949956590865476,9.999999999999998,96779.54463379129,,True,,15220,,9.280177005559885,,,0.1,2.521647989516956,,,,,0.1252737501458799,0.07967296795590824,2.630100403011167e-05,,,2.5907820832397754,,,,0.7392389178481559,,1.8749410422892259
r2400_c1200,2400,1200,3d,powerlaw,0.9023474318971255,nan,0.3430590673599193,0.1490146525567907,0.43437024913395583,0.5498590758933611,0.19716739066268407,,165630.67298967397,,True,73.94776881967312,27938,0.2359946386274272,177.29511406332514,-178.39451842913408,-18.234487821645207,0.1,2.4348528887965033,0.09088556630046085,0.11380460044956824,0.04818382264630389,0.08824022113168428,0.08068986409624297,0.06901597777745382,,4.006941425177906,0.4217692336837057,1.780154272550034,2.727904899427836,135.71787898930805,4.006941425177906,,73.94776881967312,
r2400_c1200,2400,1200,2d,powerlaw,,nan,,,,0.5889127024115944,0.2156564945930482,,98872.7883950507,,True,,15220,,176.88773990645282,,,0.1,2.5487724544654755,,,,,0.07388718705619862,0.056363035027256966,,,,1.7132140916253804,,,,,,
r2400_c1200,2400,1200,3d,weibull,0.8901040198013777,0.7056735538007345,0.3622803893823406,0.15487800631953355,0.4275086669294695,0.6208450922819182,0.2031150805395462,1.1022887048640593,161772.90344094607,,True,73.39475667351421,27938,0.16555609337388688,177.22790282161097,-178.1858176259388,-18.572816012474252,0.1,2.406330266287786,0.08779255059862498,0.10081744973783084,0.0416765633779103,0.08453771209876057,0.1348896517559605,0.062565958932313,0.7340971191070315,3.386913319906953,0.3823521014028611,1.7320331403418048,2.545448076228527,8.53131783938519,3.386913319906953,0.7353816543586532,73.39475667351421,1.9013661886343698
r2400_c1200,2400,1200,2d,weibull,,0.36981368369619727,,,,0.6095901225653177,0.21868410069314217,4.450868543419439,97072.43726696674,,True,,15220,,176.86231097901808,,,0.1,2.525460851855631,,,,,0.09240916470074655,0.052757975925053796,5.015272343251008,,,1.6689679916092304,,,,0.2714833345477614,,1.3955352957903793
r2400_c1600,2400,1600,3d,powerlaw,0.7789628224179529,nan,0.49005896886156397,0.15667242569380915,0.31970116995872655,0.6551184476308021,0.17466726619894615,,91883.75141758517,,True,74.97329569165335,27938,-0.42713901286832723,4.696734492110941,-173.13016257046053,-9.003363769276412,0.1,1.813517298818181,0.06428200123367143,0.06624881846892273,0.04299113649312876,0.06505671511170277,0.08595825672594624,0.03463638822965646,,7.733666603287399,0.21259230204123014,1.933069413796688,4.287093027459351,5.6893348928288505,7.733666603287399,,74.97329569165335,
r2400_c1600,2400,1600,2d,powerlaw,,nan,,,,0.6868458060137487,0.20076574257530894,,47142.93866046729,,True,,15220,,4.504126639042394,,,0.1,1.7599527129829626,,,,,0.0914416794833091,0.03172937884730058,,,,1.9846448960963003,,,,,,
r2400_c1600,2400,1600,3d,weibull,0.7789609910522459,1.5429339380809053,0.49006097327250314,0.15667315556793696,0.3197013516944907,0.6551186005833086,0.17466780113057584,9.999999999999998,91883.77203501153,,True,74.97333690319651,27938,-0.4271425345473555,4.696712716515653,-173.1302042681641,-9.003305403453002,0.1,1.813517502282105,0.06335937262863293,0.06507910095779153,0.042625732129782094,0.06512403708448843,0.0880102347469912,0.03442254644131559,2.3329610014534154e-10,7.746690955986061,0.21262152758503824,1.9299398834285306,4.29140638852842,5.699122543775947,7.746690955986061,0.6657884446678896,74.97333690319651,3.3949884867977485
r2400_c1600,2400,1600,2d,weibull,,0.5119384654012211,,,,0.6881547624089501,0.20100734955609081,9.99999999975256,47116.52901528297,,True,,15220,,4.504240476302564,,,0.1,1.759459677977469,,,,,0.0958829644579802,0.03119828976178827,3.325295533646016e-11,,,1.9811039185186072,,,,0.8372896680599964,,1.9584060903478007
