chunk,n_bands,n_ok,n_degenerate,r_min,r_max,slope_T,se_slope_T,T_first,T_last,slope_p,se_slope_p,p_first,p_last,slope_a2a1,se_slope_a2a1,a2a1_first,a2a1_last,slope_a3a2,se_slope_a3a2,a3a2_first,a3a2_last,slope_a3a1,se_slope_a3a1,a3a1_first,a3a1_last,slope_alpha,se_slope_alpha,alpha_first,alpha_last
r2400_c2800,5,5,0,0.009599999999977628,0.5006797572968483,-0.5345226274924527,0.25623277038550735,0.8873793559573749,0.3206530437372389,-1.9586350053535748,0.5003910999586032,0.4584455794165576,-1.1933385861982537,0.42808015634183577,0.21743604604028094,0.4733581014193116,0.8327819452225945,-0.4791667773025259,0.13404051600777012,0.7486696016603782,0.2525055557035426,-0.06657209054727757,0.08755850918864048,0.35438882123230897,0.2102820678583084,-0.15761056920921007,0.11421694493125999,0.7585666345858463,0.5322145506693716
r2400_c3200,5,5,0,0.009599999999977628,0.5006797572968483,0.08322339982557408,0.13685431677189208,0.9000917244837021,0.9868576932649861,-0.2048935933077838,1.2730364075377685,0.36437867664724877,-0.46717234989571543,-0.25627789357028985,0.2258658016154162,0.36443620569126434,0.11493458189677594,-0.3866467122719955,0.1911509463214122,0.5246493811729753,0.07203778431636099,-0.15739293235287596,0.08767731386486445,0.19120122979294896,0.008279632621171073,-0.6512633755328692,0.07639863506035628,0.882369521900806,0.14155918580161644
r2400_c3600,5,5,0,0.009599999999977628,0.5006797572968483,-0.057716528465002304,0.037737392945580164,0.9908173445127457,0.9899487739984545,-1.131944873123634,1.307324047765029,1.333290454175132,1.4791166440321586,0.018787638496064196,0.16291744640036376,0.24344853451354131,0.11642738212577382,-0.5228144815246137,0.10523321163695454,0.9235232886414773,0.5110075644355798,-0.1309925742790878,0.07923864251672594,0.22483039120889386,0.05949527297370224,-0.5213718055586943,0.06224246818695405,0.7876058189430635,0.18779672588605625
r2400_c4000,5,3,2,0.009599999999977628,0.5006797572968483,0.014769697103270554,0.0007540014827385122,0.9906780554916399,0.9995398737536025,2.6941952967631804,0.33168221579181445,1.5195857997889366,3.1361029778468463,-0.268010289340513,0.028077815055332883,0.18897079294973002,0.02816461934542209,-0.3591308435777613,0.10990028943524963,0.8636592187443557,0.6481807125976988,-0.24158434061184417,0.030164009142415668,0.1632063674044652,0.018255763037358624,-0.9220364782774401,0.0087805201454898,0.8395067806368145,0.28628489367035037
r2400_c4400,5,1,4,0.009599999999977628,0.5006797572968483,nan,0.013610007482844078,0.9875743631807781,0.9875743631807781,nan,1.0274804805144089,1.2371613610339276,1.2371613610339276,nan,0.022002716353029177,0.12287771369998855,0.12287771369998855,nan,0.1364804648393704,0.42341425425595497,0.42341425425595497,nan,0.0281658962494099,0.0520281755109574,0.0520281755109574,nan,0.09432253634021531,0.6962701561450327,0.6962701561450327
r2400_c800,5,5,0,0.009599999999977628,0.5006797572968483,-0.08686930042639904,0.05277832062378182,0.8932424785397723,0.809178450565786,-0.30037002349838887,0.27472345129197895,0.27290926294414586,-0.044347791487831856,0.13889305198905527,0.08338680100978438,0.3670878338133285,0.47957355655108963,0.032193316306801924,0.052678550022560715,0.4822730326990221,0.4587702287111804,0.06727338735204895,0.03905935386138439,0.17703656288006858,0.2200140702227776,0.010831581287082536,0.19433740704898145,0.7294015314022834,0.7094171926734563
r2800_c1200,5,5,0,0.009599999999977628,0.5006797572968483,0.011031001387173067,0.012744470255420191,0.981976620791017,0.9974112322043215,-0.28075343620315635,1.133944320708958,1.322789732637081,1.0559767003496732,-0.10303307205615121,0.07003019370508275,0.18537649799285702,0.051444157462977654,-0.5269253348295296,0.1258087617302733,0.6958809618910279,0.1478907164447859,-0.09640567463553462,0.022147217719958454,0.12899997573525954,0.007608113304098145,-0.592372607091245,0.22775153734697542,0.8975839555004028,0.20928407020330392
r2800_c1600,5,5,0,0.009599999999977628,0.5006797572968483,-0.0863090259110005,0.18177681767334392,0.963173906902387,0.83051771762006,-0.5264413712606707,0.9113441068862613,0.9746146566808331,0.0361175189313081,0.09703441380177116,0.14201168390741378,0.2798419925081456,0.4562539207528732,-0.2542621873557688,0.3189711851680217,0.7416220806109165,0.4730338816027747,-0.012628088004740195,0.06335801116711919,0.20753700072619544,0.21582356313021636,-0.3809699710812919,0.12594991529876817,0.8301372566595694,0.4017457563891036
r2800_c2000,5,5,0,0.009599999999977628,0.5006797572968483,-0.19633689321226008,0.3020424102780811,0.9096171007936144,0.7266446661773204,-1.0078556466542015,1.1705810694674341,0.5473652225325774,-0.4703504462588062,0.13576096235111798,0.34526797635302986,0.45618293092480844,0.5464937308474243,-0.3824105101420639,0.12216978482167513,0.7885999167769482,0.34144014399182565,-0.11546014912968369,0.06765186344647177,0.3597458213623682,0.18659489815117453,-0.19360030817214172,0.4337652800873239,0.9252581164171335,0.6385038580199027
r2800_c2400,5,5,0,0.009599999999977628,0.5006797572968483,0.04056355610358093,0.3081358518727619,0.9362149218771679,0.9839563573433474,0.5177958026649871,1.7931467525161113,0.7122600794177005,1.3061070549323779,-0.19023648373188884,0.31286515101021894,0.3734867789346626,0.15285407006782822,-0.1823412397427168,0.29581008322086877,0.7613876971319856,0.5643026554868545,-0.1698559467204541,0.1244285961339276,0.28436823852230575,0.0862559576412492,-0.39970357009628,0.1526164818709518,0.9072120819326693,0.4174948482831364
r2800_c2800,5,5,0,0.009599999999977628,0.5006797572968483,-0.36301046714945184,0.29344322158995173,0.9284872126984648,0.5054291123646049,-1.0775041376168562,1.4015902453249618,0.6301301747540471,-0.4886948793051422,0.35610217858909005,0.2921980476049801,0.33801249721181703,0.7434118089648042,-0.18071279325826908,0.32816624578372544,0.6347384622339363,0.4560284799099234,0.09104503143264715,0.14604930609123803,0.21454953269608143,0.339016957189306,-0.2937769217101393,0.14078332561815743,0.7836896998130362,0.4727953989801755
r2800_c3200,5,4,1,0.009599999999977628,0.5006797572968483,0.035577342436766544,0.021727242594634825,0.9507631378303913,0.9982512056477256,0.9664390985762745,0.552259585243225,0.7092975832044921,1.8481345878244662,-0.1715211794914817,0.0534578247379502,0.2583108418488111,0.043507846229322945,-0.22433478775903304,0.17769799152138926,0.5250330727324843,0.2761863675923533,-0.09601870542188717,0.031738619244058755,0.1356217350159961,0.01201627401184337,-0.6107579663836029,0.028753619592128542,0.825877179747017,0.12980744959963045
