chunk,med,frac_neg,x_med,x_p95,gain_med
r2800_c2000,0.296061917729012,0.00237125,8.868730590967068,23.51650018015696,0.1120294728532206
r2800_c2400,0.3868221694903213,0.0005125,11.894072316344047,33.69697901655883,0.0837799079137968
r2800_c2800,0.237304888196125,0.00238125,6.910162939870835,16.380391399926648,0.1432224579540683
r2800_c3200,0.1083786097464628,0.03413125,2.612620324882095,8.818705310917398,0.3574649733785462
r2800_c3600,0.0944810028976189,0.02117375,2.1493667632539646,6.262932833284638,0.421832487913094
r2800_c4000,0.0665607028653976,0.06888625,1.2186900955132556,3.954807633676018,0.6340416459066771
r2800_c4400,0.0548552629647322,0.12301875,0.8285087654910734,3.774940514605676,0.7659243944278848
r2800_c4800,0.0539698112891489,0.17736,0.7989937096382979,4.024445544547551,0.7697185823942019
r2800_c5200,0.0460347848827336,0.2261824932943672,0.5344928294244535,3.2767939445773444,0.8514537782009111
r3200_c400,0.0623323679400187,0.1787128524377939,1.0777455980006263,4.4750691156358755,0.6637427856754905
r3200_c800,0.0714196516206175,0.1548042105917035,1.3806550540205853,6.689144213285346,0.5826633378963357
r3200_c1200,0.0409843440955864,0.3442875,0.3661448031862154,3.1510542406069657,0.8395650961055476
r3200_c1600,0.0159902893951294,0.74928625,-0.4669903534956859,2.9838484535345864,0.8363146844073082
r3200_c2000,0.0143213393153797,0.72125375,-0.5226220228206754,5.3874586532244555,0.7671004750018756
r3200_c2400,0.0146609854637215,0.6550925,-0.5113004845426141,9.226024021624772,0.7016488502360885
r3200_c2800,0.0164386881520659,0.710035,-0.4520437282644692,5.258344529240515,0.8003957552173917
r3200_c3200,0.0224499908385343,0.6346925,-0.2516669720488538,2.158770968708054,0.8705308589221806
r3200_c3600,0.0532747055956044,0.23384625,0.7758235198534821,3.050927075135881,0.7595528649243928
r3200_c4000,0.0566219342877775,0.19254375,0.8873978095925865,3.105620593799109,0.7311180021355248
r3200_c4400,0.0477421553792606,0.21541375,0.5914051793086887,2.5960302514339513,0.8341620690531689
r3200_c4800,0.0437221833908553,0.26538625,0.4574061130285116,3.1879767219637185,0.8634303216599211
r3200_c5200,0.0381512562705421,0.3536902257385058,0.2717085423514056,1.6761687578451543,0.8868061139688758
r3600_c800,0.0199227849913978,0.7188132189910554,-0.335907166953404,0.7084813513313073,0.9049490273851724
r3600_c1200,0.0135936359836006,0.8631818445562329,-0.5468788005466454,0.2938866193841427,0.8694860234133429
r3600_c1600,0.0076502456587543,0.9298553004318412,-0.7449918113748538,0.0937424025268165,0.8003244523373132
r3600_c2000,0.0045873494805942,0.940099797101599,-0.8470883506468574,0.0645597203363506,0.7591347265413187
r3600_c2400,0.0050612249815459,0.957765,-0.8312925006151347,-0.043330058264793,0.7684378703877927
r3600_c2800,0.0095055112087722,0.93680375,-0.6831496263742595,0.0555056338205796,0.824662438205904
r3600_c3200,0.0205050283124801,0.7387625,-0.3164990562506603,0.5106342773054408,0.92592388423062
r3600_c3600,0.0284323898253507,0.543255,-0.0522536724883069,0.7999737156047708,0.9508658820708408
r3600_c4000,0.0399154974152952,0.29015625,0.3305165805098431,1.2946547882895874,0.9059746482466816
r3600_c4400,0.0386471273364673,0.3240675,0.2882375778822462,1.408952703571821,0.9072503598762556
r3600_c4800,0.0243612435755796,0.63303875,-0.1879585474806775,0.933322126187767,0.9270461477954948
r3600_c5200,0.0321300132205397,0.4613677488025545,0.0710004406846579,1.4657748386441531,0.8933153491606391
r4000_c2400,0.0125051462104675,0.8448481754966698,-0.5831617929844148,0.4180244518394879,0.8496343219080746
r4000_c2800,0.0227447863525139,0.6585413263690545,-0.2418404549162016,0.7900859010829828,0.9158464112570012
r4000_c3200,0.0393312596729156,0.3266752103168046,0.3110419890971892,1.515280744025993,0.8916711037214604
r4000_c3600,0.0508989715030548,0.0938291753588186,0.6966323834351612,1.602287657537511,0.8178084314319541
r4000_c4000,0.0433796951019759,0.1828210861409027,0.4459898367325318,1.360356842793475,0.9001836587423087
r4000_c4400,0.0292534140048094,0.52063625,-0.0248861998396863,0.8110494826641836,0.9488857063198186
r4000_c4800,0.0275126542516866,0.57172,-0.0829115249437795,0.6946816013730862,0.9537298979932044
r4000_c5200,0.0265580238761554,0.5843377442107234,-0.1147325374614834,0.845024566348896,0.9357603994714436
r4400_c3600,0.0351329566897999,0.3761283444553882,0.1710985563266635,1.113558649409685,0.934127005941542
r4400_c4000,0.0324514829566833,0.4354676644926417,0.0817160985561125,0.9724894394211452,0.9460439556236928
r4400_c4400,0.0359757463408851,0.3372577411798556,0.1991915446961728,1.0056404736118814,0.9434048675464894
r4400_c4800,0.0349018287597726,0.3756063507202951,0.1633942919924201,1.0747293094769146,0.938379523047286
