chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,theta
r1200_c2800,1200,2800,3d,powerlaw,0.7780769727957647,nan,0.5035646805877688,0.2016998102290805,0.4005439976323464,0.2662636904484495,0.2803906848318439,52436.45905342228,,True,62.45794568448849,27938,-0.22888854861551522,11.502611573404256,-178.8611194784271,24.073625451000737,0.1,1.3699951254519058,0.4354856758585247,0.3946650069236301,0.28803585775262086,0.1866093766644745,0.09641309143640435,0.27894516998508373,12.84849823301837,0.376282131562147,6.543018040269052,167.60453858626883,205.7058748738016,59.98121161500476,62.45794568448849
r1200_c2800,1200,2800,2d,powerlaw,,nan,,,,0.26134618399132586,0.3071921742147468,28976.225329062967,,True,,15220,,11.07870534292923,,,0.1,1.3797918611501234,,,,,0.09807744990410777,0.24455368109784517,,,4.644016158253295,,,,
r1200_c2800,1200,2800,3d,weibull,0.7773622084354935,0.4988429996461094,0.5042897991344132,0.20184366843620652,0.4002533241454824,0.26680687121864305,0.2803132827010589,52430.17094425441,,True,62.44237347072226,27938,-0.2310534440904548,11.4963920070816,-178.850442096277,24.017864321602268,0.1,1.369912979008911,0.4362506873550375,0.39425496599760546,0.2869196906604301,0.186639999148885,0.09485177575204921,0.27761021262075875,12.835241750612811,0.38416092830143833,6.496066866659556,167.5959979030846,206.0490119011642,60.01185715837537,62.44237347072226
r1200_c2800,1200,2800,2d,weibull,,0.2779193573600129,,,,0.2641704410957223,0.30718834171343756,28882.760664922997,,True,,15220,,11.070990089801532,,,0.1,1.3775647604306025,,,,,0.09680352358596837,0.2374878361637378,,,4.398173058480174,,,,
r1200_c3200,1200,3200,3d,powerlaw,0.9489207954199211,nan,0.3803402697017213,0.31403309222302567,0.8256635366781002,0.15271857428482152,0.44055510470051423,70016.87366336092,,True,72.63673249194491,27938,0.7751210513210669,3.243458561159548,179.1946240160995,-133.41699392792955,0.1,1.583083057623135,0.08934086202705391,0.13889926596936347,0.1420729762520072,0.2875608298102923,0.05503006700650171,0.22932577940005672,5.8784035871013085,0.5572685302056779,164.43498054107104,335.01523396367526,352.60040352196705,5.8784035871013085,72.63673249194491
r1200_c3200,1200,3200,2d,powerlaw,,nan,,,,0.13514244910462164,0.4334935373640607,53195.143599473864,,True,,15220,,2.0638469317566646,,,0.1,1.8695137625179474,,,,,0.04668585163866924,0.20622156319408108,,,226.5813675737046,,,,
r1200_c3200,1200,3200,3d,weibull,0.9489208912570049,1.132601542656921,0.38034370535408196,0.31403762222227277,0.825667988720672,0.15271880402594534,0.440555856940644,70016.87383682924,,True,72.63673828251292,27938,0.775117410324025,3.2434429047893096,179.1947401146018,-133.4181192416583,0.1,1.5830830595841963,0.09470691158884556,0.14178975396902543,0.14035138765993205,0.2901610925557294,0.05475244508787409,0.23021832581631538,6.179711093439743,0.5717122991365609,164.3188995922703,335.0183756965181,352.9039380290331,6.179711093439743,72.63673828251292
r1200_c3200,1200,3200,2d,weibull,,1.1194327569788334,,,,0.1351424508518477,0.43349356616675677,53195.143602752745,,True,,15220,,2.0638445666054688,,,0.1,1.8695137625755645,,,,,0.04668579667959732,0.20622103098322975,,,226.58149998683376,,,,
r1200_c3600,1200,3600,3d,powerlaw,0.8115543735147566,nan,0.4541147578023637,0.1479929220348065,0.3258932230060112,0.12929430632729283,0.23512440055023806,22790.66360914335,,True,53.70946276220451,27938,-0.3317801456666176,1.6401235328446895,172.717857889948,-164.23311130341858,0.1,0.903193553097513,0.22492400212400507,0.256925086241045,0.16699498840576077,0.1693400181241227,0.0384570131084912,0.1955172069590649,11.367314727223622,0.3749697453215523,2.0266690018784113,4.1873212607255255,6.5729032324776595,11.367314727223622,53.70946276220451
r1200_c3600,1200,3600,2d,powerlaw,,nan,,,,0.13064854588175484,0.258044957731429,19485.200903170728,,True,,15220,,2.0911206461759906,,,0.1,1.1314754041610746,,,,,0.03744162158514958,0.16396465323922677,,,1.488817936897825,,,,
r1200_c3600,1200,3600,3d,weibull,0.8094722209959165,0.6101045144897727,0.4565450239771369,0.148728165411616,0.3257688893769743,0.12991067277688317,0.23545227539037447,22780.352649901866,,True,53.67847565515963,27938,-0.33749912215133016,1.6381877573263854,172.71148141367766,-164.2406667386017,0.1,0.9029892184270686,0.22224578728075225,0.2530744328402894,0.16578478295298843,0.1693809774122587,0.039274378332667614,0.19496717892314108,11.3392292049897,0.3703403470726002,2.019013100223363,4.18004194132745,6.562388337770048,11.3392292049897,53.67847565515963
r1200_c3600,1200,3600,2d,weibull,,0.38634353879422395,,,,0.13098623372496535,0.2582305804225116,19483.44891215433,,True,,15220,,2.0909647331737475,,,0.1,1.131424535316686,,,,,0.03804262159300898,0.16359700182298637,,,1.4821375974504043,,,,
r1200_c4000,1200,4000,3d,powerlaw,0.864450919205394,nan,0.475333786820828,0.32336837006606706,0.680297464711797,0.16743438811007116,0.729050130590451,50680.51920737035,,True,46.73847667795477,27938,0.35851288427651884,141.18660791556712,176.41585947167428,117.61893651192383,0.1,1.3468612904264892,0.10220534125131549,0.1064865006230242,0.11398245125042582,0.19538086608348687,0.020434958000649404,0.15022338830912885,6.659353546581612,0.3795095625589711,24.048007078858348,456.45590051412705,13.540794896126647,6.659353546581612,46.73847667795477
r1200_c4000,1200,4000,2d,powerlaw,,nan,,,,0.1651539054326481,0.7537355141620388,42081.48988092164,,True,,15220,,146.0318531163597,,,0.1,1.6627931530126523,,,,,0.021249563757644332,0.12228527565882308,,,26.064166364130664,,,,
r1200_c4000,1200,4000,3d,weibull,0.8644533466897539,1.0584273073848287,0.4753313840669691,0.3233681723012994,0.6803004874926168,0.1674343387953386,0.7290519875331313,50680.519348524154,,True,46.73838667950832,27938,0.3585223824786805,141.1866783018442,176.4157209257766,117.6189574216953,0.1,1.3468612923021073,0.10220249236920596,0.1064873971461638,0.11397850965725494,0.19536997819265942,0.020434950746618007,0.15021983804338893,6.6597423258495665,0.3794933979539669,24.048767626126974,456.4557857044422,13.540964399582837,6.6597423258495665,46.73838667950832
r1200_c4000,1200,4000,2d,weibull,,0.5463494174391801,,,,0.16515390809024968,0.753735638740277,42081.48989292243,,True,,15220,,146.0318368075745,,,0.1,1.66279315324975,,,,,0.021209826883223374,0.11648882592861487,,,26.566645645993308,,,,
r1200_c4400,1200,4400,3d,powerlaw,0.8340019298654835,nan,0.46016993381231935,0.2342347916293366,0.5090180266424565,0.16339800236600188,0.4402081545735855,61843.091145806975,,True,53.37281804525973,27938,0.10088758912889162,143.09216989619017,165.25938569213565,139.4057099570452,0.1,1.4878115917637862,0.1394106140016486,0.19709749509036378,0.16601509331480024,0.12431019683126528,0.04550100910688431,0.12693973803924075,6.062488105382254,0.23146175398258817,7.224977531940452,5.599692503913498,8.654153717116568,6.062488105382254,53.37281804525973
r1200_c4400,1200,4400,2d,powerlaw,,nan,,,,0.16264573917180755,0.47119477821155814,46616.658409293406,,True,,15220,,143.89015621013993,,,0.1,1.750101525294068,,,,,0.043995817251991386,0.12111398912822194,,,7.445451376359046,,,,
r1200_c4400,1200,4400,3d,weibull,0.832684204600537,0.3681174407487552,0.4612874934592523,0.23368132960510296,0.5065850102561801,0.16429391427108214,0.43952413222641884,61818.1299645872,,True,53.284351348389116,27938,0.09367066953215586,142.97917543638133,165.347723704926,139.26835127293415,0.1,1.4875113053275402,0.13899605747147628,0.19411023928608998,0.16136578944086016,0.1197398415284879,0.045117526419838586,0.1257247482477691,6.050504468232209,0.22875093922942497,7.205256628150217,5.767554385200257,9.008706679112844,6.050504468232209,53.284351348389116
r1200_c4400,1200,4400,2d,weibull,,0.6695913407655503,,,,0.162645689101784,0.47119583594880526,46616.658697354724,,True,,15220,,143.89015274833125,,,0.1,1.7501015307013255,,,,,0.04399579214855263,0.12109588930037662,,,7.445924072397525,,,,
r1200_c4800,1200,4800,3d,powerlaw,0.9402555822078127,nan,0.295456514515447,0.17117443337645974,0.5793557595343203,0.12209175548167697,0.5066766253349385,296600.2975760597,,True,68.4955362850753,27938,0.6733950597494109,161.222598278031,176.75080657820948,113.7677832522087,0.1,3.2582779898421985,0.10297791303698323,0.17741712836959225,0.05660886552468609,0.14452729361168165,0.020628513151827406,0.13276106835692228,4.136138150323928,0.8054069549566018,4.491052194251727,451.30039293843276,238.58693644766086,4.136138150323928,68.4955362850753
