chunk,n_bands,n_ok,n_degenerate,r_min,r_max,slope_T,se_slope_T,T_first,T_last,slope_p,se_slope_p,p_first,p_last,slope_a2a1,se_slope_a2a1,a2a1_first,a2a1_last,slope_a3a2,se_slope_a3a2,a3a2_first,a3a2_last,slope_a3a1,se_slope_a3a1,a3a1_first,a3a1_last,slope_alpha,se_slope_alpha,alpha_first,alpha_last
r2400_c4400,5,1,4,0.009599999999977628,0.5006797572968483,nan,nan,0.9914751058039137,0.9914751058039137,nan,nan,0.8212932206296877,0.8212932206296877,nan,nan,0.09451931428148758,0.09451931428148758,nan,nan,0.2148838002727848,0.2148838002727848,nan,nan,0.020310669451983752,0.020310669451983752,nan,nan,0.4341094330419617,0.4341094330419617
r2400_c800,5,5,0,0.009599999999977628,0.5006797572968483,-0.05681667554657923,0.05289862816289153,0.8721044328627611,0.8091755766172104,-0.11277506896779596,0.19649865051756096,0.1734108355834154,-0.044328875770754284,0.08394310497643122,0.06717911179757204,0.39892018052900735,0.4795802239277383,0.03438037957113514,0.049788367883551704,0.47445756528019284,0.45878528503557087,0.0477882122053507,0.03831534640840261,0.18927069759492782,0.22002434973211032,-0.04559511932171068,0.19452295152408464,0.7735978957492576,0.7094237308561067
r2800_c1200,5,5,0,0.009599999999977628,0.5006797572968483,-0.03377468699508515,0.08433906931176915,0.9793388108403698,0.9288371045190278,-0.8976960652356758,0.7891109698034403,1.2522793764440605,0.22244074172521278,0.05057976014921723,0.16236938745255086,0.19405262418112745,0.28385053688058465,-0.3593386641649275,0.07326748149049629,0.6788558159655215,0.3545638926096965,-0.04044455631930516,0.04472388334541365,0.13173375252872996,0.10064315127573231,-0.5208632977919752,0.2083117155751305,1.0397916327064105,0.5311073323633209
r2800_c1600,5,5,0,0.009599999999977628,0.5006797572968483,-0.07298777446986372,0.20338782116075454,0.9532177866608723,0.8305175935284406,-0.21105737976315245,0.906774111929976,0.8617635123442104,0.03612991677919064,0.04550974262669943,0.18070026060484848,0.3030907260673988,0.4562558001754776,-0.23655481205915044,0.3216767207685594,0.7175163242906664,0.4730416948088024,-0.042429572008541784,0.062488004127589244,0.21747254369446922,0.21582801698135423,-0.7179778368933581,0.24418876788668298,1.0797475868706539,0.4017493028104255
r2800_c2000,5,5,0,0.009599999999977628,0.5006797572968483,-0.19763889524996003,0.29568909244675334,0.9134734891107,0.726645401620624,-1.0154959830554704,1.3133737274861281,0.5703327536049398,-0.4703521845651053,0.14460292719157586,0.340066926685996,0.4394420823073922,0.5464928520308898,-0.3742664174735027,0.0947265647535859,0.777309564688385,0.3414390013958687,-0.10448462691862344,0.06746838506980166,0.34158253370411645,0.18659397366740724,-0.4463443944327455,0.38242342576693306,1.2390854595255574,0.6384596067777333
r2800_c2400,5,5,0,0.009599999999977628,0.5006797572968483,-0.00019998381941952034,0.2936574112474776,0.9496034842361836,0.9503743137747619,-0.120146383116242,0.8329334037755052,0.8242885757606508,0.7236009361766302,-0.0561586637323015,0.18449848319827142,0.32890583588115474,0.26208256449242295,-0.19872714994520851,0.28188040426977873,0.7499901494909513,0.5403734755809587,-0.09220649594037204,0.11026254736341938,0.24667613702095356,0.14162246626394134,-0.35459905417444987,0.42570967934444504,1.2696430327847263,0.7708247385539561
r2800_c2800,5,5,0,0.009599999999977628,0.5006797572968483,-0.3561563427514596,0.28272596581973963,0.9224912437169153,0.5022710936348763,-1.025313147619368,0.9742344230271879,0.5904773352701076,-0.48975619841709167,0.3408514043839581,0.23614247783519593,0.35055729518801076,0.7456811518965774,-0.17716593038487516,0.23365793161211304,0.6327032389549231,0.4569353432788254,0.0836363562100054,0.04583075113806807,0.22179873610473147,0.3407280731184125,-0.4687294376024184,0.1245435882914582,0.9791671330023283,0.47758404846844493
r2800_c3200,5,5,0,0.009599999999977628,0.5006797572968483,0.047916314628153475,0.05335346804201169,0.9367577454984805,0.9991654002592668,1.1561214719641149,0.939332009670234,0.5820561004821494,2.2616508398374315,-0.20042894730804361,0.14378570647095615,0.29127092841301777,0.030182861522383024,-0.2014304455320757,0.11774358014846854,0.521291799086797,0.28972294488654937,-0.11128325139422614,0.06713667082944713,0.1518371462941037,0.008744667525367728,-0.43895371748438006,0.19539779455043793,0.9131863962343546,0.29931596009665024
r2800_c3600,5,5,0,0.009599999999977628,0.5006797572968483,-0.0014743143531788217,0.1209307052511336,0.9942744333208963,0.995147158420221,0.26822692134832643,1.0307310259469469,1.4232899046298506,1.8813117031269315,-0.10730613226413448,0.231199502430504,0.22790755119082248,0.08296381322987072,-0.35123555778073695,0.12495623197793343,0.9459880852722521,0.5444173992447474,-0.1350496125580479,0.10347667296355308,0.21559782797009394,0.04516694343003318,-0.4816043249729975,0.13168610186463403,0.8972854608702705,0.3080724766350994
r2800_c400,5,5,0,0.009599999999977628,0.5006797572968483,0.12563524285315655,0.056386176407746104,0.8107127221770852,0.9865251986339408,0.5755360710585726,0.26600581494432857,-0.168936456829627,0.6811952892086643,-0.2507473748068579,0.07324716184383365,0.4651409084775608,0.11940714059041121,-0.12830757502542783,0.015623896254001844,0.39284060008247285,0.23597698812318013,-0.11428078396659791,0.03342402115914883,0.18272623360923157,0.028177337396926367,-0.41827007260341326,0.13318721453926502,0.9813763836788523,0.4918919526237679
r2800_c800,5,5,0,0.009599999999977628,0.5006797572968483,0.01575655914872232,0.08142667126921686,0.9413800212913094,0.9821170403017004,-0.10224319872025694,0.9116386550797617,0.7285689500411268,0.8873992139119293,-0.09273801435006929,0.17326640737259683,0.30891488705734566,0.14234242029560537,-0.2588572060547285,0.06217560307182555,0.6401066112636099,0.3457219292531146,-0.10696064769684599,0.054376118663460295,0.19773846152315833,0.04921089615915439,-0.7965246550152487,0.08475122968784342,1.1793573784943707,0.25109314138548017
r3200_c2000,5,5,0,0.009599999999977628,0.5006797572968483,0.371382143694255,0.38474722395527394,0.5118152415221849,0.880042388367319,1.389067597762977,1.41248131751494,-0.9900511697663079,0.1315962596790825,-0.33635719647868567,0.3690462686239457,0.7115456336512194,0.3788843214833954,0.26617707911438837,0.24325377334187648,0.26438024344190625,0.4321735301766252,0.012363958304442,0.047182960537039124,0.1881186078447348,0.16374377474405435,0.5548127331883093,0.2441543962882559,0.6549740887589068,1.189100402482043
r3200_c2400,5,5,0,0.009599999999977628,0.5006797572968483,0.09480335998302417,0.15478932249923838,0.8900473132308206,0.9912928524103622,2.1404531225796974,1.7393043498562153,-0.22052480731130908,1.6696254488135596,-0.18942677092449076,0.08531307132257494,0.34338650327226083,0.14421129528839324,0.5824989561462092,0.4458640626978443,0.275429538470642,0.7657877183999512,0.03363259064485933,0.1331707315635379,0.0945787861133264,0.11043523878640028,0.23523261712469998,0.4871265230575796,0.7639486530325724,0.9622121732864305
r3200_c2800,5,4,1,0.009599999999977628,0.5006797572968483,0.3353047446497632,0.7349736859926589,0.6091486693150151,0.7927279677274499,0.13103936089189136,2.447608028289278,-1.4054027316913895,-1.403613756173776,-0.2888661615790821,0.6695427355123953,0.629774259573866,0.45756961762187487,-0.0481746018658318,0.14074848546228858,0.15446363637179866,0.11242825519761847,-0.062010490117743115,0.04561400832565677,0.09727722222713638,0.05144375374066885,0.05198633682158829,0.2739279358128989,0.5098282543984978,0.5623180355855634
r3200_c800,5,4,1,0.009599999999977628,0.5006797572968483,0.005963518757562681,0.08854719269525367,0.9942945614967911,0.9996299517667244,1.7772414930193026,2.5469315434206283,1.8485939973097056,3.2577545045609817,-0.07608732082313158,0.37647941675370394,0.0940095568622515,0.027495893644794715,0.1994746202279362,0.12266647881488664,0.5970437794757782,0.714648759169488,-0.040060968763490024,0.2823548102248419,0.056127821135881724,0.019649906275508753,-0.11969753234006568,0.1471296984620898,0.6889256857135858,0.5974588899095865
