chunk,size,r_split,n_inner,n_outer,w_frac_inner,r_min,r_max,a1_in,a2a1_in,a3a2_in,alpha_in,a1_out,a2a1_out,a3a2_out,alpha_out,ang1,ang2,a2a1_full,a3a2_full,alpha_full,n_blocks_ok,se_a2a1_in,se_a2a1_out,se_a3a2_in,se_a3a2_out,se_alpha_in,se_alpha_out,se_d_a2a1,se_d_a3a2,se_d_alpha,se_ang1,se_ang2,d_a2a1,z_a2a1,d_a3a2,z_a3a2,d_alpha,z_alpha,z_ang1,z_ang2
r2400_c2800,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.28809376489722177,0.386725436458521,0.3775776846606298,0.39675658960807964,0.3680948911933231,0.8292003430234248,0.2813855684668978,0.7346015512286481,39.783180807856056,38.42214344509229,0.585277670826829,0.2862171303494401,0.3721285817249776,4,0.1398074479134218,0.03869087864661912,0.05167803078349348,0.02010477874377471,0.02306940330424482,0.13150285123170624,0.16076573574759156,0.0676681525118433,0.11044367406138095,16.58138552305215,19.381299333136955,-0.44247490656490385,-2.7522960941105423,0.09619211619373202,1.4215271530709583,-0.3378449616205685,-3.05897974231467,2.3992675854829972,1.982433828850704
r2400_c3200,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,2.4488231474426274,0.12930361998943268,0.3269830593589056,0.354185996716061,0.6523541808843092,0.6070285605831689,0.5867821233480145,0.29126876639781457,13.604478359488308,38.398817897304006,0.11315794095882632,0.33428565315950726,0.3021377745532587,4,0.3005775504026464,0.48195883480873397,0.18696219208006523,0.3012277697247893,0.020608512615422337,0.10736418638210654,0.5040426672329682,0.2650642180967631,0.09201618768877642,40.37531664815071,45.169473969372085,-0.4777249405937362,-0.9477867086457029,-0.2597990639891089,-0.9801363075504512,0.06291723031824642,0.6837626280611567,0.33695038179004416,0.8501054921148953
r2400_c3600,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.5633889601643822,0.6062565473314229,0.3259284991241133,0.23185226136727044,10.237443364312522,0.03667653079325688,0.6865734840031837,0.3914102741019101,81.82200424136039,81.3465336047293,0.7973167696487045,0.2808545249183219,0.19956205312105,4,0.6131560314145573,0.010520120056935587,0.2030357353734446,0.28835975215491,0.020940604296924903,0.2635082190781763,0.6228020177661545,0.41168391037974034,0.26527401169941767,28.925673887939247,30.359084770177233,0.569580016538166,0.9145442697522346,-0.36064498487907043,-0.8760239975043203,-0.15955801273463965,-0.6014837703568001,2.8286982892203807,2.679479115412556
r2400_c4000,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,2.768495596431601,0.03760218446705616,0.6924761087357071,0.23814796705446475,106.06356823666276,0.0032562985661631614,0.09767306143112037,0.08230393228898913,19.018969214277014,20.35112302039965,0.03657579487313253,0.5098742549027502,0.19806049162890918,3,0.027027985936874124,0.38272450066848074,0.22626634373588367,0.2439038374063405,0.007649017574760822,0.23532552303419074,0.3678930431300989,0.4546384359380782,0.23602196038176274,32.64252325979606,34.012714237999674,0.034345885900893,0.09335834569926124,0.5948030473045867,1.3082990796352267,0.15584403476547562,0.6602946374710207,0.5826439660594988,0.5983386941128908
r2400_c4400,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,7.292576037843155,0.037407012269866,0.5035195618717472,0.3822091409981164,25.52588412590281,0.04853686365619523,0.3249176486460855,0.1782035445522712,33.70707590830573,29.126109873849195,0.025415395321746272,0.4502084918508439,0.3208472999432486,4,0.05631713351709914,0.04686290736209988,0.1488083525786017,0.15876145906665046,0.07220218717744561,0.13818541747225002,0.0411279925069995,0.06578615568479773,0.07202140670953273,54.065564621186276,41.70224729683993,-0.011129851386329229,-0.27061499256096827,0.17860191322566166,2.71488600248052,0.20400559644584523,2.832568895364871,0.6234481438319649,0.6984302228732955
r2400_c800,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.8231610091216267,0.30089766057977263,0.4146678539140067,0.4634644753054964,0.8135552201184512,0.6364431906235216,0.41909689342170564,0.893963743561953,1.1631917255903967,2.730553184453167,0.3413922509122092,0.3818076436994684,0.5100457978596902,4,0.12371260737453937,0.12336778112987212,0.035128365937805925,0.08915306599793568,0.041334942292570814,0.13100379822777125,0.2275740586859412,0.07839709022594674,0.09109839706512989,58.93062767131222,58.10416946836468,-0.335545530043749,-1.4744454266064286,-0.004429039507698962,-0.056494947643262176,-0.43049926825645657,-4.725651406892214,0.019738322355535427,0.046994100585842476
r2800_c1200,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,3.0218389829457246,0.08646810993453659,0.4298827088937882,0.4917052295920644,19.835590549010135,0.05194585748256098,0.18263550749550603,0.10769493504243911,7.183800613207642,27.144688882552053,0.0519491840665264,0.41656576236109205,0.37887147321724673,4,0.06922003444823782,0.5339917254081866,0.05571003718979787,0.16677686426461946,0.09709457707205232,0.2444466839591216,0.5933791677021851,0.18921963394769895,0.2011668002026879,48.10425360437459,37.84804421928082,0.034522252451975606,0.05817907727644089,0.24724720139828218,1.3066677925538228,0.3840102945496253,1.9089148615114988,0.1493381577498242,0.7172018909427244
r2800_c1600,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,1.0063059869338946,0.1848801547238936,0.5721329276264016,0.34403763512697494,0.6607763845530569,0.7778414281255583,0.4304000160449512,0.6034327764003004,8.558215497303785,9.228762324865736,0.23491050789350595,0.518180118907618,0.3554455491917097,4,0.081779275387202,0.25080095852527207,0.14466406547753813,0.1555953770176803,0.031922366172823395,0.306255718342973,0.31604934325071277,0.13222624977259703,0.2798203932800757,38.610307291858994,39.67002572542667,-0.5929612734016647,-1.8761667634008838,0.14173291158145035,1.0718969329100907,-0.2593951412733254,-0.927005849118701,0.22165623890562222,0.23263817343457183
r2800_c2000,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.3220470654010433,0.5222927826852461,0.470797170510531,0.6495952391925522,0.4619492962329287,0.6348001043692001,0.32775915031080666,0.7801296697535354,13.586748699804835,25.373300360263006,0.49950764960657684,0.45842466881214944,0.6139098212848692,4,0.3108309066134735,0.44535308069093626,0.11592022525924485,0.18588527864166882,0.14341721293197604,0.6018423702907181,0.25155752564783185,0.2880153094387679,0.5135228363617167,18.27440049746023,6.915452004732517,-0.11250732168395394,-0.4472429174766914,0.14303802019972434,0.4966333924347665,-0.13053443056098313,-0.2541940130371085,0.7434853308426241,3.669073307558068
r2800_c2400,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.811250387967668,0.24950144592533793,0.6188682031066927,0.5901567395349796,1.3790081948718524,0.23666575058447692,0.6481350351379481,0.414904711330539,1.3063882686176806,9.523732731891698,0.2637470373121668,0.6396449786737094,0.5499635376574623,4,0.22143123597138892,0.6034160148729243,0.12377190966359548,0.37775525503850693,0.15815734689875843,0.3899010365446128,0.6891035954417384,0.49206949307086184,0.3085300145982527,60.16247736243456,60.986582495844694,0.012835695340861014,0.018626655593971912,-0.029266832031255463,-0.05947703006055043,0.17525202820444058,0.5680226231235302,0.02171433634203018,0.15616111515251072
r2800_c2800,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.4055276147177258,0.5778425250711563,0.43556165230966337,0.45042362095190597,0.4874408842273527,0.6849021988764096,0.6229413918289038,0.6333828236671134,80.2426143692275,79.38746131943002,0.7116260549192015,0.42756638577658795,0.443943228729322,4,0.13871070759256335,0.5577473836957125,0.12315313674560438,0.17813529163724445,0.04779988714410636,0.3920762751810306,0.6503998868029985,0.0989548845704712,0.3683732697462671,15.842587363691429,26.930546288514552,-0.10705967380525327,-0.16460592318288778,-0.18737973951924047,-1.8935875710692893,-0.18295920271520744,-0.4966679662756976,5.064994279477998,2.94785929958233
r2800_c3200,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,14.556340911405073,0.019549517985852534,0.3781235467864678,0.2742583664087067,1.7145908338018792,0.2408116620792462,0.6084370002433224,0.255299168527971,40.621785898228694,39.98897251309587,0.025972073216192413,0.3878306224916156,0.22984811738749608,4,0.19425442145838145,0.5423266491715052,0.15237326411709395,0.5475131503306788,0.016685584564331418,0.12755764319625001,0.44224295809625297,0.5100446909306189,0.1245046711442494,27.80548523539024,43.54542804442223,-0.22126214409339368,-0.5003180718713368,-0.23031345345685456,-0.45155543730222647,0.01895919788073569,0.1522770005855429,1.4609270636473604,0.9183276938350842
r2800_c3600,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,1.1268958493725438,0.14109285174711111,0.8691982517277085,0.30648174869763717,14.9277758734833,0.034963521850625144,0.40689304813857324,0.11463469994381172,5.4726143110923315,6.6251317619242815,0.09335989765577844,0.8343512571109102,0.2395027387871431,4,0.2183896555294768,0.2807435852764834,0.10319518244544773,0.5041071769053647,0.03892719937593132,0.16867216400253027,0.2709836850392603,0.585312275822987,0.1473536495199921,29.19250981595201,22.519604913765512,0.10612932989648596,0.39164472164111974,0.46230520358913524,0.7898436829111506,0.19184704875382547,1.3019497608560875,0.18746638591868747,0.2941939606531263
r2800_c400,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,3.302017049331631,0.059516959466397984,0.5431004072415775,0.32164390889216027,177.99515971865833,0.003909274536747195,0.18395610239667579,0.09542371778043754,46.45754351627254,53.75163938273916,0.09139408782694784,0.527573987327215,0.25955344980138917,4,0.09922338802147275,0.49202873484116044,0.17857293354391243,0.14347085808560475,0.07159981357372976,0.15744500985003293,0.5198837707574099,0.10710984585992944,0.19205165734809454,43.99858093623864,30.31746815854551,0.05560768492965079,0.10696176348924472,0.3591443048449017,3.353046603339947,0.22622019111172273,1.1779132460268102,1.0558873156295052,1.772959374498042
r2800_c800,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.5320923724482994,0.37472881893079507,0.4584075086522165,0.4001050799364462,0.632318020742192,0.5817762546693814,0.33715304291172166,0.15897443300248534,46.845217847419015,51.44923196517759,0.4204214514651896,0.45190242695261057,0.3421468721923805,4,0.2599118157044089,0.48015040261810765,0.16172818583085,0.16614497088675065,0.04100227851665538,0.030469498742348465,0.6980052724371615,0.21127703629487535,0.06634081010727186,26.06742249524549,18.740453399226478,-0.20704743573858636,-0.29662732348089244,0.12125446574049487,0.57391218594747,0.24113064693396083,3.6347256921351585,1.7970790113968207,2.745356842182974
r3200_c2000,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,0.46077415161994084,0.24584930969720062,0.7832369803163511,0.9152708700832858,0.5226387336277672,0.5322753721830911,0.3833712808073643,1.5642720598834488,5.985173968170721,24.34423496797577,0.2650924851943313,0.6627336927677332,0.9142799928889382,4,0.39677416722867936,0.12053438139832368,0.3784609016549584,0.29333397236260306,0.3351248443478043,0.7602859810419621,0.42989551568941586,0.6524898947809405,0.4253814263052798,40.65339632163642,41.198866001607435,-0.2864260624858904,-0.6662690166157095,0.3998656995089868,0.6128304862763172,-0.649001189800163,-1.525692354358697,0.14722445133041223,0.5908957534662712
r3200_c2400,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,2.493731541977126,0.05987777122093452,0.6825463904878871,0.7690796822858594,1.0809410508185515,0.24689667495338827,0.6278411369714032,1.1397994358532877,6.604574210165013,75.00015673736588,0.058952789274133194,0.7685845395398845,0.7812904136805058,4,0.3241450146210781,0.6379661758408196,0.3709739550407819,0.22311891949884782,0.18218907839469758,0.48158105110573074,0.3224500808061313,0.34025066210782523,0.32000258695658534,13.353339612648952,40.709658264797746,-0.18701890373245375,-0.5799933535910519,0.05470525351648392,0.16077927131012565,-0.37071975356742826,-1.1584898643888892,0.4946009314335741,1.8423185046045853
r3200_c2800,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,1.87589938198379,0.5738520976609855,0.10201456190983287,0.4759776630478782,10.012435070077204,0.4340452495112191,0.04840624845119919,0.39874066994279844,22.804217652983475,22.790051059267913,0.5943787938067079,0.08418115564863966,0.4437049357601537,4,0.3138691415059426,0.5550347612203637,0.11854271816857287,0.3927978543367906,0.03353937877235511,0.0521289004081608,0.431174399504992,0.3141464919873912,0.07949388001205646,51.65752488746227,50.80014108531042,0.13980684814976646,0.32424663502812584,0.05360831345863368,0.17064749989563893,0.07723699310507975,0.9716092999029056,0.44145006371604645,0.44862180640395855
r3200_c800,400,0.2717611844096632,299934,299941,0.7034621267928448,0.009599999999977626,0.5006797572956955,20.05128548956544,0.007089565027529584,0.9311458425258285,0.4581897220557334,5.955438186142106,0.0645051139768719,0.5991386328371707,0.6786182640345269,2.3224000281942847,22.61702998954382,0.010062109566272263,0.8079010658095631,0.4874170281479956,4,0.18521386840400503,0.37628932549458893,0.23455948684880154,0.192333885886145,0.030316980111436517,0.23175271851066176,0.1912748424698631,0.3029956037104434,0.2027401052344547,36.06250442253678,39.36124040282132,-0.057415548949342324,-0.3001730295942531,0.3320072096886578,1.0957492637613953,-0.22042854197879347,-1.0872468558891362,0.06439929964328633,0.5746015562030582
