chunk,snr,a2a1_w,a2a1_p,a3a2_w,a3a2_p,b2b1_w,b2b1_p,pa2d_w,pa2d_p,a1_w,a1_p,alpha_w,alpha_p,beta_w,var_inf_w,chi2n_w,chi2n_p,n_w,dchi2,dAIC,ptp_powerlaw,ptp_weibull,rms_powerlaw,rms_weibull
r2400_c2000,5.18143,0.3917509647840921,0.3855579558512227,0.4617808906216903,0.46649597180560903,0.24779390521452904,0.24715192569749544,10.438256395256804,10.440346405687364,1.1552988250261653,0.2384387843074079,0.605875050667859,0.563584049795041,1.0000000006356422,2.5498233504746044,4.687709281725507,4.7278201107881985,27938,1120.6163423534806,1118.6163423534806,0.015006578553870525,0.014893029426748305,0.048192818008565765,0.04796980793457386
r2400_c1200,5.15417,0.3622803893823406,0.3430590673599193,0.4275086669294695,0.43437024913395583,0.2031150805395462,0.19716739066268407,177.22790282161097,177.29511406332514,0.7056735538007345,0.2771315992437369,0.6208450922819182,0.5498590758933611,1.1022887048640593,1.9013661886343698,5.790425350452648,5.9285085900806775,27938,3857.7695487278847,3855.7695487278847,0.029917902560359977,0.018405367898541025,0.05625661694296256,0.05556884584366281
r2400_c1600,5.06145,0.49006097327250314,0.49005896886156397,0.3197013516944907,0.31970116995872655,0.17466780113057584,0.17466726619894615,4.696712716515653,4.696734492110941,1.5429339380809053,0.25519391262613345,0.6551186005833086,0.6551184476308021,9.999999999999998,3.3949884867977485,3.288845731083525,3.2888449931127917,27938,-0.020617426350035828,-2.020617426350036,0.035587061662466786,0.03558741221831216,0.03623642221434442,0.03623647387131964
r2000_c3200,4.98423,0.20140954129475744,0.20378697823356204,0.9587244459392754,0.9234842666428801,0.23904604979597088,0.23160189396095435,3.756432382939912,3.704473001367614,0.42049630167142676,0.2645424760848936,0.6045269310523202,0.590527014101089,9.999999999999998,0.9421580360176172,5.2499542400389165,5.344919922868259,27938,2653.1512468861733,2651.1512468861733,0.023600866513991695,0.03242706672363407,0.05043561875911822,0.05104696827084043
r2000_c2800,4.81564,0.23240155978485577,0.2720818307815461,0.6836892445136836,0.7313756247928868,0.44402461160392065,0.4240839969375039,6.786061189634117,6.36851478966617,0.21198464908872872,0.22538512779198253,0.9419632072943129,0.6190597070737326,1.3780821308919997,1.3017788570070443,4.518638583303344,7.530043418431158,27938,84132.62828380089,84130.62828380089,0.10273693567417692,0.024366183782927306,0.06268857605254279,0.05265164841040709
r2400_c800,4.76024,0.21470989144667935,0.1524031439921926,0.46777176606794324,0.4773393731804944,0.12776386812996093,0.10205441832847056,171.5592726208438,171.63474717865304,0.5075326835008773,0.5760788627853122,0.526815673067738,0.4134079890125548,1.4866001517820182,1.0088225606055643,10.80344215184402,11.315117413110054,27938,14295.183449250433,14293.183449250433,0.0814552251051989,0.06314068669247366,0.0756010690794214,0.07404853660688436
r2000_c3600,4.7212,0.26833787873286163,0.2174661182921441,0.3587349106303588,0.42452951281129986,0.18327398260490868,0.15727075766326556,9.146885768107355,9.311622962703911,0.5089411670007217,0.3985851084530021,0.6112534849487742,0.5607732883500786,9.999999999999812,0.9234532712650727,9.261515823109352,10.259780962464225,27938,27889.53146329643,27887.53146329643,0.07514668541653062,0.06772957036567744,0.07180691013055115,0.07000519543994703
r3200_c2800,4.68058,0.9059245022276419,0.9059150435767006,0.15732623796905004,0.15732404296504354,0.14380992556883967,0.14380626040141087,173.80999736768499,173.80999408672398,2.10358552073015,0.2475136287907215,0.5397257461633848,0.539724082986548,9.999999999999998,2.4212552497612965,6.715726263981626,6.715725148418592,27938,-0.031166600042460857,-2.031166600042461,0.11101539906740272,0.11101499720348368,0.05500100212670156,0.055001162806992895
r2400_c2800,4.66889,0.24099940169868436,0.2779186592744324,0.7249967937290481,0.7399205139166973,0.4687779446430596,0.4672770846556964,156.8342008093853,157.26841378549523,0.21858585928586832,0.2116009009035811,0.8519759774368156,0.562951162083473,1.048446675997578,0.880129816602418,10.122795580091916,11.290350117327806,27938,32619.138661296307,32617.138661296307,0.04024201510431608,0.02775838756345464,0.07939446121562739,0.07515649139335394
r2400_c4400,4.62391,0.17926373837046886,0.1741681599016919,0.5980241200332406,0.6035341978465627,0.17295176285095698,0.16808873852952647,14.169124942417213,14.160983390317089,3.1525131438802116,0.3390983254404265,0.6509677743452962,0.6267213287247229,1.0000000000006786,3.3632757467358316,8.500560049089351,8.523732363390383,27938,647.3881169422336,645.3881169422336,0.05073567432267173,0.041609743873640526,0.061843936676696874,0.06162599920355289
r2800_c3200,4.5613,0.2842329256470254,0.24357545472406228,0.4679621982832607,0.48844477891776417,0.33595905325674486,0.337821277863022,160.12127471722926,160.2917229249239,0.2619461050281612,0.3635142339008613,0.8241380685232208,0.535798703867324,1.0992014069866913,1.275843201788594,3.539026181604432,4.966170102805917,27938,39871.546870527076,39869.546870527076,0.0771745639457166,0.012942331473057858,0.0498939603753932,0.0427709927203094
r2400_c3600,4.5426,0.24767778072217328,0.18036822575953965,0.7687836140199794,0.8520083293667893,0.19166808839057792,0.15458575875757835,8.313511687174927,8.369674959085014,0.18804565081891333,0.31066748650354337,0.7779850854505193,0.4897950757192789,1.3029634892828048,0.6583575695101335,5.4444405943265215,7.317536905439673,27938,52330.56473987923,52328.56473987923,0.0661013021862519,0.03405325932643863,0.06172343912651259,0.05444828416679886
r2400_c2400,4.51207,0.26301520300327086,0.2708053535094351,0.4839531480360225,0.5015874387334107,0.8595440945818523,0.8377112524741115,164.9030921539606,167.81741833728242,0.6374386549161212,0.27152141428699816,0.6343166255935415,0.5361714148901497,1.0000000000004956,1.716468469551671,2.92213508826825,3.139749940419971,27938,6079.72373941478,6077.72373941478,0.021553590135164474,0.007332704612829116,0.0421787751978016,0.041375494434975076
