chunk,band,r_lo,r_hi,r_mid,fit_success,usable,T,se_T,p,se_p,a2a1,se_a2a1,a3a2,se_a3a2,a3a1,se_a3a1,alpha,se_alpha,n_ok_jk
r2400_c4000,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9923759951053491,0.006698655422560986,1.7473618312898056,0.40754217391752096,0.1270612588885605,0.03192454779344024,0.7292606078634325,0.11826918203797367,0.09266077089296461,0.01093056488191486,0.4920762959499225,0.024193465491695848,4
r2400_c4000,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.999878553442079,0.0002688984036045775,3.145155272973718,0.18012207555782522,0.04151816116590595,0.009025013278630959,0.9641879292243101,0.01583991204890137,0.04003130983975603,0.00775997715274605,0.26147461528444454,0.02547183373137282,3
r2400_c4000,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,False,0.9999936272511515,,4.832509216069454,,0.002680766916489995,,0.336504705460477,,0.0009020906816416569,,0.12419712759403023,,1
r2400_c4000,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.823313540306758,0.24564967324655174,-0.6273533072218265,1.4213974719507048,0.42976179695582906,0.3366425400805131,0.2294942070121963,0.09123587964186516,0.09862784279651451,0.07331757837930507,0.15057562169996488,0.06980738858332126,4
r2400_c4400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9673607698704991,0.011442823986470027,0.9920792974117685,0.187211633714335,0.22535303873341506,0.03922111600124116,0.6077402261016236,0.16521544461284488,0.1369561067125336,0.05645523046786014,0.7074906941193484,0.02420500491840896,4
r2400_c4400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9874703172619702,0.007581718045907705,1.4925045323163406,0.2813190211313633,0.14800214113479485,0.03091061720609233,0.6583464240503112,0.24279483539945312,0.09743668036788164,0.052266138053808,0.6152000743623509,0.02027665390122206,4
r2400_c4400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9973374676745778,0.0015267358665379234,2.2351818139009096,0.8979372424349765,0.06480628327160867,0.03352943130445338,0.6058208871526605,0.2208908560543577,0.03926100002467259,0.028467224535797205,0.41013442998648464,0.06622281684327472,4
r2400_c4400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9972618774542907,,1.9310467583750481,,0.056871177364992705,,0.3922249088090351,,0.022306292355846725,,0.2971924619533913,,1
r2400_c4400,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,False,0.9999988550426145,,5.6752511576115285,,0.0011337617059607947,,0.3305613285455051,,0.00037477777577641855,,0.21471168578664443,,1
r2400_c800,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9355246423065361,0.01511466653336519,0.6248507108746137,0.1254993558839225,0.30374748478665914,0.028538916388803442,0.567390299008292,0.06727299682683975,0.17234337621611912,0.033451736060783346,0.5615492015367023,0.13949849348952995,4
r2400_c800,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9896796631530915,0.013489766515051231,1.4786928362052976,0.27812703289779434,0.11881129593546773,0.06658128366369859,0.5212497649853958,0.12635130854048982,0.06193036008397286,0.05867834607002914,0.4395570329771211,0.08255179980539601,4
r2400_c800,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9790122953835243,0.10295853822569555,0.884057460741773,0.7758569252273149,0.1562191017140165,0.2007659809861566,0.37815984657601576,0.14001259521606008,0.059075791536415484,0.11063103033826326,0.38792836214852133,0.05087517537327413,4
r2400_c800,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.7760560565222452,0.2366678771873736,-0.3749576389175435,0.4467787196626494,0.49614369453882773,0.12583541559409958,0.3410086871874365,0.09701667564696696,0.16918930993101014,0.043443407681268885,0.6991603297845869,0.06265690834420817,4
r2400_c800,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.6983870808518509,0.19147073908237275,-0.5170794712231124,0.342199882195573,0.5730521522192857,0.09906670326988633,0.34168773261553054,0.07680093974917108,0.1958048905622576,0.0344187971494694,0.8885796499109276,0.09108564527159223,4
r2800_c1200,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9289292714842704,0.013827003803437711,0.47328608441872255,0.22676412359387635,0.3013483034628595,0.022938543876867206,0.4837425455658096,0.0982939746086729,0.14577499541906172,0.03228969640257797,0.8277631124507683,0.02966397500811375,4
r2800_c1200,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,False,0.9999976631851901,,5.672721236874016,,0.0017906243968967693,,0.5207580929564962,,0.0009324821461293378,,0.6040333460678794,,1
r2800_c1200,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,False,0.9996964049992401,5.56106055382144e-05,3.1095711253314464,0.07445773707598624,0.019332020217064323,0.0008750598141392119,0.43325823031195815,0.020291129328626867,0.008375756867600285,0.0001857545883872519,0.4462959800692082,0.02502234944354284,2
r2800_c1200,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9989351311985916,0.0003870679988263858,2.211475828345077,0.18808510554316404,0.034365446521822364,0.007386173324256288,0.3137283318849667,0.05344251306305939,0.01078141421177336,0.003600524584405347,0.37552825600242434,0.12752974458611135,3
r2800_c1200,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.9995009696280259,0.000222841749435148,2.371963639254964,0.49349436868373336,0.023053497142093125,0.004878711373500161,0.24709703581242393,0.11220064778043212,0.0056964508089213965,0.0026537004081242446,0.2868155251464033,0.20202339372390998,3
r2800_c1600,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9305053456373568,0.03821455422206533,0.6332423439224684,0.27321769705937865,0.32866772146260614,0.0651860219361329,0.6191141209931168,0.07513576873030167,0.20348282747213192,0.03597394838386418,0.7728337481961091,0.016022571459471637,4
r2800_c1600,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9898437217196314,0.01191739790827728,1.606400477185109,0.39014978048572696,0.14057779829821576,0.04757859953595295,0.7007572508432445,0.13108381142611394,0.0985109114650538,0.03418496067495911,0.6214903096735932,0.07065134433810732,4
r2800_c1600,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,False,0.9997666854165235,3.24292223979894e-05,3.4280349569689497,0.09624325436263459,0.01867782853423642,5.744595407991722e-05,0.57557649442005,0.055791907321458944,0.010750519071114578,0.0013304769150839883,0.3520014623822808,0.007375546809019473,2
r2800_c1600,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9963414060275122,0.021464802604091948,1.7465289064108236,0.1959158534017551,0.06519660045852743,0.0348885059903799,0.37388050229430847,0.033849845915516485,0.02437573772731558,0.003407997863654061,0.2650524500808756,0.02956585585311404,2
r2800_c1600,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.7710069308386172,0.11680781127246455,-0.08663018213825846,0.30314660089252504,0.5288892102135052,0.07629743197338101,0.484999953614536,0.15611256225523562,0.2565112424207786,0.11005519947563444,0.4577024723083251,0.09575383717254131,4
