chunk,n_bands,n_ok,n_degenerate,r_min,r_max,slope_b2b1,se_slope_b2b1,b2b1_first,b2b1_last,slope_b1,se_slope_b1,b1_first,b1_last,slope_pa2d,se_slope_pa2d,pa2d_first,pa2d_last,slope_alpha,se_slope_alpha,alpha_first,alpha_last
r2400_c2800,5,5,0,0.009599999999977628,0.45254833996038263,-0.106607322034938,0.4039428884680234,0.5104299229631831,0.34381836194427345,-0.002123164923507769,0.12945045968097948,0.035359182090747246,0.04024966151777699,-89.1246631952893,99.22463686104612,157.9427014730052,16.587423391570656,-0.6604649043332605,0.12451507373634729,0.809725002050649,0.07814960773822188
r2400_c3200,5,4,1,0.009599999999977628,0.45254833996038263,-0.24307258894012268,0.20845261461455852,0.24948506275801666,0.031214764815984234,4.638754478641816,2.4427471528634768,0.06857981748920215,4.478201392650712,-2.067606116253668,11.249321186342309,172.85875621607784,171.0065232863848,-0.7622295233320122,0.15766666456831596,0.8669832832703879,0.18461526197443417
r2400_c3600,5,5,0,0.009599999999977628,0.45254833996038263,-0.17408543136634932,0.11120061058712723,0.23616595183798,0.0319678713758984,4.417941420063911,4.768281631110281,0.07281495336448392,5.064939088966811,2.838704046238884,1.318075476799552,7.520213743224581,10.867479336960116,-0.5804807937611316,0.13200091412426368,0.7729571172553691,0.10258306071825828
r2400_c4000,5,4,1,0.009599999999977628,0.45254833996038263,-0.16398809311325543,0.09486197759455334,0.16849173084262167,0.023141346609243798,2.4564252146895496,1.0615130901448278,0.10127827049426706,2.340573649558453,-0.47599161773669146,2.6667843584515065,14.377323161045245,13.959721881444535,-0.81984309204939,0.09204873201565572,0.8576217069573056,0.1337753167113558
r2400_c4400,5,5,0,0.009599999999977628,0.45254833996038263,-0.14956617445269466,0.06187950006748064,0.19164640072108519,0.02393269543550522,3.2709562025079615,1.644885798005445,0.07372785018168616,4.016032945589286,-1.85578851251208,1.2943251228595403,12.746888247670766,10.671519167154711,-0.5923808264373468,0.20381838098718633,0.8713911567672186,0.22401708906084603
r2400_c800,5,5,0,0.009599999999977628,0.45254833996038263,0.052077060110643204,0.09248304643364422,0.20981884195895303,0.2585742707816835,0.6181519242889939,0.08803690355846598,0.07556539297458353,0.71141077527624,-0.06313489715975486,8.459964871707923,173.50743562569664,173.40583834422245,-0.016797767409521294,0.21266629222878156,0.7165503853002514,0.7046343998470531
r2800_c1200,5,5,0,0.009599999999977628,0.45254833996038263,-0.22142679855914107,0.05911599904227194,0.2981425699897077,0.022263195482411877,6.1322205324342915,2.0004723123709227,0.058860206861348824,8.762815448971901,-2.5761445240415406,2.2412059637328587,179.07758058962946,176.34101538905983,-0.6075521158592002,0.19520001499495973,0.9050880535510415,0.17063439469291972
r2800_c1600,5,5,0,0.009599999999977628,0.45254833996038263,-0.031768835539309107,0.12935723977078684,0.30099507168010675,0.28762528824404476,0.5459944279506487,0.184671397665695,0.06201895546180953,0.6107382371621949,1.1209279849191205,1.374918961228445,12.756841304119293,14.148412890905442,-0.40626410443140826,0.12066394963505275,0.84941875820645,0.4106402092459763
r2800_c2000,5,5,0,0.009599999999977628,0.45254833996038263,-0.29612284239774284,0.20109761741677862,0.4786179318721591,0.13746564102693687,0.5387210678446318,0.33590431682719524,0.041932118124105695,0.6866046915205178,19.55280196766208,5.6990713033524525,15.382390803616396,35.32165438623668,-0.580803336308386,0.20044062516351935,0.9526050142034453,0.28522747874475357
r2800_c2400,5,5,0,0.009599999999977628,0.45254833996038263,-0.27639825297097226,0.20982773560175344,0.6342209718319479,0.33371584762304524,0.4487933208769304,0.5815061452658732,0.035192700844393895,0.5262177101310588,5.012073433733779,166.64266104715261,174.02860747349473,179.9496759263145,-0.5140531994312627,0.18426107887252768,0.9296820854766574,0.34286390791044585
