row,col,parent_chunk,parent_snr,coverage,n_ok,central_ok,r21_c,r21_jk,r21_se,r32_c,r32_jk,r32_se,cov_ab,a1_c,a1_jk,a1_se,alpha_c,beta_c,chi2_c,pull21,pull32,wall_s
2600,1400,53,5.15417,1.0,4,True,0.24715006023453265,0.26929009956363936,0.3146458321698853,0.3554953948167151,0.3679823762798446,0.3496316945176076,0.010620957111249947,4.3027796331309816,5.4061290050005715,10.208486973287126,0.604909977792036,1.0000000000000002,1.2273219023041702,0.07036495343485988,0.03571467249374509,78.5804090499878
2600,1600,54,5.06145,1.0,4,True,0.1811531682547408,0.2997781844469638,0.19354147917457445,0.20141838915865104,0.22767927684453196,0.09614569061265742,0.014899631899683932,4.076946859448104,3.3898826613679374,4.26503212381175,0.5964377319714197,7.527967528790584,0.9177585031082252,0.6129177926000206,0.2731363987147201,54.53578972816467
2600,1800,54,5.06145,1.0,4,True,0.3268228544370929,0.2686314216945127,0.4386923614427711,0.17059556289317382,0.18104754209723847,0.09173638917152449,0.03031590382624104,1.4525662767421152,8.645556368084724,14.707971116402975,0.6530601310141102,9.999999999999998,0.804497111512392,-0.13264747202618316,0.1139349313664616,50.09593605995178
2600,2000,55,5.18143,1.0,4,True,0.3195916141282944,0.3100881554307795,0.5264344800594878,0.275575690185872,0.2936478534281602,0.10066037694957543,0.039481248992583276,0.7723834870042694,12.873778518984233,22.23708940963466,0.6331759948883734,9.422679101868278,0.7713093265100489,-0.01805250046775241,0.17953601794419258,66.742192029953
2600,2200,55,5.18143,1.0,4,True,0.12442318011088346,0.3134749147424217,0.06334622684669952,0.3258544526392416,0.3648521400504442,0.061895106244435755,-0.0038095435692694552,7.8518407851113725,2.2703588505798766,1.7391373206139942,0.673954148171934,9.999999999999998,0.8592582492440625,2.9844198153909183,0.6300609172103714,67.3706738948822
2600,2400,56,4.51207,1.0,4,True,0.662270134939465,0.490956221465046,0.19442943199917415,0.3005891022971181,0.38857260853739406,0.16457392281835048,-0.004769723328733206,1.012722526307373,0.6254269173135127,0.5499796199742177,0.5107997339235704,9.999999999999998,1.311755894119714,-0.8811110113984523,0.5346138971080389,57.151453733444214
2600,2600,56,4.51207,1.0,4,True,0.010359972830259833,0.2612302006465041,0.44414040113735637,0.017968360384777813,0.17340543717945253,0.2892874417877724,0.12797934483608372,4.269192625643119,3.4130558879980217,7.716397475132793,0.9514183127206212,1.0000000021440194,1.3173638412490813,0.5648444212096329,0.5373101432750986,41.93497920036316
2600,2800,57,4.66889,1.0,4,True,0.21327685681442185,0.3310744533590239,0.29582036961815816,0.5602786613141597,0.5106211076011726,0.10935297294549366,-0.032100571771038595,0.5137862289444015,0.4254819678477459,0.07754311192421512,0.646409660698494,1.0,1.5270643460289701,0.39820650855332906,-0.45410337163616565,47.364022970199585
2600,3000,57,4.66889,1.0,4,True,0.1994654589541202,0.2974483647726124,0.1373435171611355,0.8376282601190111,0.588057178127205,0.5390023161954436,-0.01823415054735923,0.20608541163511554,1.2289363862971647,2.9661845814308094,0.9407722839077085,1.000000000000003,0.8808539300412602,0.7134148581875599,-0.4630241364330446,49.46088099479675
2600,3200,58,5.19339,1.0,4,True,0.4437376297044649,0.36337318413435715,0.43740457585127424,0.3436437956226091,0.312417790677576,0.2123228638061609,0.08076903444195585,0.24712284508437019,4.084034986817752,10.169290621180561,0.9618620054193411,1.0000000002278495,1.165381508770089,-0.1837302351346072,-0.14706849929049898,65.62405705451965
