chunk_id,row,col,snr,floor_frac,s2_floor,s2_plateau,flux_mad_std,a1,a2,a3,a1_ratio,alpha,beta,var_inf,chi2_dof,fit_success
0,400,1600,1.434,0.327188,0.113587,0.347161,0.451752,8.980630601519406,3.073514336778402,0.15955874895023148,14.032235314874072,0.09227804587266651,9.999999999999998,0.42949483749971135,0.2506689393554433,False
8,800,2400,1.43786,0.326006,0.114475,0.351144,0.462973,37.28202371037279,6.450527848293769,0.3419682288479062,58.25316204745749,0.051413786391163604,9.999999999999998,0.4309398789906698,0.45179684009344806,False
5,400,3600,1.44449,0.323985,0.134362,0.414715,0.48022,6.396877896609282,1.3409369187231037,0.14303824451652528,9.995121713452003,0.077309449935841,9.99999999999994,0.48113666546456185,0.5910506324147343,False
9,800,2800,1.44722,0.323159,0.119444,0.369613,0.471178,47.006038828054976,6.3988705249455915,0.37359241235880447,73.44693566883589,0.06185111116618449,9.999999999999998,0.46567355562967105,0.6271680960980079,False
10,800,3200,1.45283,0.321471,0.120713,0.375502,0.470776,1.015953556460433,0.8215824040102038,0.06677925914174651,1.5874274319694264,0.050527964368250924,9.999382978563236,0.400925631749876,0.2911623584496009,True
113,4400,4400,1.45891,0.319651,0.120331,0.376445,0.458348,3.949581657291704,1.6576036742487572,1.1091439208543223,6.171221339518287,0.0460007976957489,9.999999999980965,0.41270258674401766,0.11072314785505315,True
1,400,2000,1.46144,0.318897,0.116416,0.365058,0.454644,15.152338860391628,1.2629712752797724,0.05511627127218678,23.67552946936192,0.06009367417587967,9.999999999999998,0.3939738497757305,0.43922502824217347,True
14,1200,800,1.46853,0.3168,0.119321,0.376645,0.437584,56.27173616147091,12.179887596166616,0.5843345946078125,87.9245877522983,0.07607853457503802,9.999999999999998,0.5168584700414889,0.4986544663831139,True
108,4000,4400,1.48001,0.313438,0.119254,0.38047,0.480909,5.031114364728951,2.584491606742057,1.4614419861854648,7.861116194888985,0.06542752613480615,9.999999999988043,0.44952194857206684,0.11458406440962075,True
92,3600,1200,1.4934,0.309573,0.106756,0.34485,0.422423,572.0640290103661,0.21214432027330693,4.565912518891615e-115,893.850045328697,0.056438782390029786,9.999999999999998,0.3622540068898915,0.5525459578069829,True
11,800,3600,1.55199,0.293369,0.113838,0.388038,0.463638,5.531005566994076,3.0155290520133033,1.1854838273549546,8.642196198428243,0.08472870585906632,9.999999999999998,0.47846483235351395,0.28491109911233864,True
112,4400,4000,1.55297,0.293107,0.125117,0.426864,0.489873,3.8950362522930093,3.23945494021612,0.8694186168758274,6.085994144207827,0.07399227039469607,9.999996851347444,0.4984151559796856,0.26502791823029886,True
94,3600,2000,1.55386,0.29287,0.0933607,0.318779,0.363961,19.381454458500766,2.576188884612708,1.7953097455175117e-70,30.283522591407447,0.05936534675172737,9.994075472021583,0.33886621149716206,2.314372649610201,True
