chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,beta,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_beta,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,se_var_inf,theta,var_inf
r2000_c2800,2000,2800,2d,weibull,,0.11495655161607975,,,,0.8515278588892472,0.4261831296663205,3.031828981694704,97852.13431924439,,True,,15220,,7.4060434691449695,,,0.1,2.535582963955004,,,,,0.05271437323143623,0.12791537126293331,1.1118644851236246,,,5.095436768178524,,,,0.11474453477050049,,1.10034404438714
r2000_c3200,2000,3200,3d,powerlaw,0.9936634532656938,nan,0.20378697823356204,0.18819406814538958,0.9234842666428801,0.590527014101089,0.23160189396095435,,149326.37280509342,,True,82.19042828303795,27938,1.5110785389155748,3.704473001367614,-175.7123573431045,-33.47676986607505,0.1,2.311908285998443,0.0252713796847881,0.11794516469448252,0.09501713053260583,0.1649178477008119,0.05931893454677442,0.10072190995858084,,2.5292195166597558,0.5894501865422931,3.219357290337091,1.7879289778133294,122.4923114433818,2.5292195166597558,,82.19042828303795,
r2000_c3200,2000,3200,2d,powerlaw,,nan,,,,0.610353619360694,0.24046988634417443,,54170.52090364287,,True,,15220,,3.8500812213144235,,,0.1,1.8865754543746214,,,,,0.06302520969116791,0.09092544912364288,,,,3.201034808028953,,,,,,
r2000_c3200,2000,3200,3d,weibull,0.9965933374074989,0.42049630167142676,0.20140954129475744,0.19309625088469995,0.9587244459392754,0.6045269310523202,0.23904604979597088,9.999999999999998,146673.22155820724,,True,82.08009782600038,27938,1.5602633447957506,3.756432382939912,-175.89058450829978,-45.678350450914174,0.1,2.2912778618139957,0.020680351022439907,0.11482097279549754,0.0965218052283948,0.14387059113880396,0.06650518825819327,0.10187578916634607,7.511571117770826,2.526685140892245,0.5667492040622405,3.2586400539461886,1.7399453522215333,104.24700963341036,2.526685140892245,0.30928135159982595,82.08009782600038,0.9421580360176172
r2000_c3200,2000,3200,2d,weibull,,1.0788438779490135,,,,0.6103534777370296,0.24046990815938715,9.999999999999998,54170.52777789271,,True,,15220,,3.8500356623680188,,,0.1,1.8865755740780172,,,,,0.08010951806505523,0.0886084133085527,9.40290227873454,,,3.2002513731855786,,,,0.8414342382813629,,1.9069015685788844
r2000_c3600,2000,3600,3d,powerlaw,0.9608983464097175,nan,0.2174661182921441,0.09232078525152844,0.42452951281129986,0.5607732883500786,0.15727075766326556,,286637.7605293255,,True,84.61828176728899,27938,0.6689384666093341,9.311622962703911,-166.11272542196002,-126.59491104446259,0.1,3.2030892841855385,0.03573373370766902,0.10021524843734664,0.05252115580660431,0.09987900282119641,0.07637423992092443,0.05203309581955861,,5.0400675705978335,0.49208702745865435,1.4852881254010368,5.266339993525343,6.876166041747393,5.0400675705978335,,95.38171823271101,
r2000_c3600,2000,3600,2d,powerlaw,,nan,,,,0.5988033492917317,0.17949829183881458,,96779.52335244554,,True,,15220,,9.280185200907855,,,0.1,2.521647712267947,,,,,0.08523599360935805,0.05355543303144699,,,,1.413535021458338,,,,,,
r2000_c3600,2000,3600,3d,weibull,0.9366743864936,0.5089411670007217,0.26833787873286163,0.09626216494597316,0.3587349106303588,0.6112534849487742,0.18327398260490868,9.999999999999812,258748.22906602907,,True,83.68978843886933,27938,0.2903367772444634,9.146885768107355,-164.141855967477,-122.70458417744376,0.1,3.043273865939336,0.08435738787383634,0.28306923862376765,0.12309640169183032,0.4279901158284555,0.1097572575998069,0.04947955660491386,4.166283697690689,6.86021972923961,2.1484719301066084,1.4840157554200624,276.3991903729484,42.20021874195057,8.019304761145577,0.3041565229200845,96.31021156113067,0.9234532712650727
r2000_c3600,2000,3600,2d,weibull,,1.4528631483144567,,,,0.598803415881476,0.17949956590865476,9.999999999999998,96779.54463379129,,True,,15220,,9.280177005559885,,,0.1,2.521647989516956,,,,,0.08523612890992195,0.05355149285690047,0.023802010485503663,,,1.4135843746850336,,,,0.4570545790944663,,1.8749410422892259
r2400_c1200,2400,1200,3d,powerlaw,0.9023474318971255,nan,0.3430590673599193,0.1490146525567907,0.43437024913395583,0.5498590758933611,0.19716739066268407,,165630.67298967397,,True,73.94776881967312,27938,0.2359946386274272,177.29511406332514,-178.39451842913408,-18.234487821645207,0.1,2.4348528887965033,0.18402470603717858,0.29891235978016123,0.14679684415015098,0.05966056692626535,0.07304355788200281,0.14766012046885468,,9.422182831369401,0.8506532645127288,1.9473674879249336,2.780169402888273,6.220951238695739,9.422182831369401,,73.94776881967312,
r2400_c1200,2400,1200,2d,powerlaw,,nan,,,,0.5889127024115944,0.2156564945930482,,98872.7883950507,,True,,15220,,176.88773990645282,,,0.1,2.5487724544654755,,,,,0.06611707325322642,0.1388465579538172,,,,1.7456132203717447,,,,,,
r2400_c1200,2400,1200,3d,weibull,0.8901040198013777,0.7056735538007345,0.3622803893823406,0.15487800631953355,0.4275086669294695,0.6208450922819182,0.2031150805395462,1.1022887048640593,161772.90344094607,,True,73.39475667351421,27938,0.16555609337388688,177.22790282161097,-178.1858176259388,-18.572816012474252,0.1,2.406330266287786,0.1842439666208548,0.29877403077707726,0.1419961521171778,0.05403267645825081,0.14356277258843533,0.1420773653540991,7.810333108703033,9.151325827333675,0.8827213834389656,1.8508397722394119,2.773615577594067,6.286120220415399,9.151325827333675,0.7094211249583299,73.39475667351421,1.9013661886343698
r2400_c1200,2400,1200,2d,weibull,,0.36981368369619727,,,,0.6095901225653177,0.21868410069314217,4.450868543419439,97072.43726696674,,True,,15220,,176.86231097901808,,,0.1,2.525460851855631,,,,,0.08390772767275319,0.1354873243514127,6.197435467512097,,,1.6950739588789776,,,,0.7128610108759252,,1.3955352957903793
r2400_c1600,2400,1600,3d,powerlaw,0.7789628224179529,nan,0.49005896886156397,0.15667242569380915,0.31970116995872655,0.6551184476308021,0.17466726619894615,,91883.75141758517,,True,74.97329569165335,27938,-0.42713901286832723,4.696734492110941,-173.13016257046053,-9.003363769276412,0.1,1.813517298818181,0.17083842640840366,0.19050991450501792,0.0692863060167795,0.052929416363858166,0.07485976130815777,0.06573408003764594,,4.299223969817595,0.43488095457731907,1.4759506713414754,2.589685563850351,4.349291121304991,4.299223969817595,,74.97329569165335,
r2400_c1600,2400,1600,2d,powerlaw,,nan,,,,0.6868458060137487,0.20076574257530894,,47142.93866046729,,True,,15220,,4.504126639042394,,,0.1,1.7599527129829626,,,,,0.07484151136369421,0.06579448877624285,,,,1.5221985500237802,,,,,,
r2400_c1600,2400,1600,3d,weibull,0.7789609910522459,1.5429339380809053,0.49006097327250314,0.15667315556793696,0.3197013516944907,0.6551186005833086,0.17466780113057584,9.999999999999998,91883.77203501153,,True,74.97333690319651,27938,-0.4271425345473555,4.696712716515653,-173.1302042681641,-9.003305403453002,0.1,1.813517502282105,0.1718929663592616,0.19144874749274743,0.06947035674684156,0.05293923565899461,0.07621809194849818,0.06590470510232793,4.5310721169820024e-11,4.316807994296364,0.43692697758233606,1.474381160792813,2.592125188587207,4.350804917166851,4.316807994296364,1.7594640738838128,74.97333690319651,3.3949884867977485
r2400_c1600,2400,1600,2d,weibull,,0.5119384654012211,,,,0.6881547624089501,0.20100734955609081,9.99999999975256,47116.52901528297,,True,,15220,,4.504240476302564,,,0.1,1.759459677977469,,,,,0.07794969271297635,0.06622046834814621,0.00011845278815222649,,,1.519509751952369,,,,2.400146775400531,,1.9584060903478007
