chunk,row,col,central_ok,converged,fit_stride,a1,a2a1,a3a2,alpha,beta,var_inf,rms,se_a2a1,se_a3a2,se_a1,n_ok,wall_s,alpha_bad,ratio_bad,degen
r1600_c4000,1600,4000,True,True,2,0.993439175344412,0.23073361605355047,0.7749870783356749,0.3518478830990165,9.999999999967592,0.7003944476960449,0.9072356850282387,0.16925952474752515,0.26294058852741264,0.29256000898983237,4,58.74156379699707,False,False,False
r1600_c4400,1600,4400,True,True,2,5.168573309460945,0.6932684287948271,0.3461615917865223,0.30248164809570854,9.999999999999998,0.9572690371974426,1.1447538378548836,0.1823403072991758,0.12915892878092217,1.0695206499439225,4,47.885266065597534,False,False,False
r1600_c4800,1600,4800,True,True,2,0.6130578928174122,0.5819356263723837,0.39474527513404817,0.22976162294407268,9.999999999423082,0.4506839363650986,0.9524112048672696,0.16852623919420412,0.28640302755605007,0.7766631473412251,4,69.79387497901917,False,False,False
r1600_c5200,1600,5200,True,True,2,3.1271789766073703,0.18991834201914348,0.4795388866765873,0.26370510689459536,9.999999994716415,0.6474644560792254,1.2427148031881012,0.20827538292721828,0.07184098924792186,3.1252667557661766,4,39.925861835479736,False,False,False
r1600_c800,1600,800,True,True,2,0.38874293550737227,0.5021796675928148,0.6925427731504433,0.1481936072841967,1.0,0.5176916858900469,2.039551478920763,0.4168706621564997,0.37373699904284136,3.83062830037949,4,56.7206289768219,False,False,False
r2000_c1200,2000,1200,True,True,2,3.5536677602629108,0.7030554681234703,0.385565341787153,0.34244650678255595,9.999999486503375,1.3342670253292712,1.9221548960267671,0.26911971528958967,0.05456096623861371,1.8395771217331045,4,75.30077695846558,False,False,False
r2000_c1600,2000,1600,True,True,2,0.674155948883878,0.19219987411532907,0.6013556061417837,0.28282206124757836,2.952100520531919,0.7002013199750214,1.133074365360455,0.14400794802232583,0.24902224929965192,0.3894508887171807,4,62.295032024383545,False,False,False
r2000_c2000,2000,2000,True,True,2,4.781406721508881,0.4754393038364136,0.34744897853932644,0.20087583946345078,9.999999999999998,1.037331115534627,1.9274952852824083,0.04488412746539888,0.12864821711412916,1.182554813316155,4,68.74496912956238,False,False,False
r2000_c2400,2000,2400,True,True,2,4.804144669869895,0.5860074974408203,0.2745426868607406,0.40943016817552585,9.999999999999998,3.878593925196658,1.5437460417233901,0.16746510730330416,0.08935547422613763,0.6344839344755381,4,101.42215394973755,False,False,False
r2000_c2800,2000,2800,True,True,2,0.21365058945727688,0.24807050602798766,0.7223179129699656,0.8397622572359222,3.0925001624080295,1.147417665723354,1.3461223544065422,0.04380908554434463,0.21318257489593515,0.025141307053097455,4,40.46581411361694,False,False,False
r2000_c3200,2000,3200,True,True,2,7.336303346199526,0.31725698900318994,0.408933562301996,0.4849873971105157,9.999999999999998,3.0875408282414933,1.9595354158466343,0.061975988879202866,0.05063711002690547,3.2880324021030463,4,83.71099400520325,False,False,False
r2000_c3600,2000,3600,True,True,2,4.729005380621959,0.36461266509063606,0.2359543209924309,0.4679599496325919,9.999999999999998,2.1053292614942083,2.1419500041027435,0.4076760463658529,0.08721755304158683,15.066018011066344,4,103.87449598312378,False,False,False
r2000_c4000,2000,4000,True,True,2,3.0079849455924337,0.7389583610817093,0.2354519929902649,0.3620581724170136,1.0000000000001623,1.6665926926904264,2.0575519599634813,0.2897379191736857,0.1175926666319318,4.006924869805149,4,72.04711985588074,False,False,False
r2000_c400,2000,400,True,True,2,4.137899323666324,0.5099575822644645,0.3631240756231974,0.21268354067186332,9.99999999999986,0.8128193378070016,2.127055251922916,0.21267387814068192,0.13928651980456822,1.669469446138481,4,56.56680989265442,False,False,False
r2000_c4400,2000,4400,True,True,2,0.5366475867783366,0.20491067915463762,0.5883081942456846,0.4877439177959177,1.0274266172453124,0.8950167729232356,3.595712974240368,0.40752316222182955,0.14456788985584867,37.221883673111925,4,118.11537790298462,False,False,False
r2000_c4800,2000,4800,True,True,2,0.6315559672741876,0.6603068706441917,0.16885079951170545,0.2024624017568092,9.999917336731562,0.5407757493898689,2.5886679856703556,0.10734366056434348,0.34014837173238976,4.459641241555751,4,126.15507197380066,False,False,False
r2000_c5200,2000,5200,True,True,2,22.081061998659536,0.06111950278118235,0.6378530200628034,0.2569163171744718,9.999999999999998,1.0167237162207796,3.5772523012600055,0.2432673471120791,0.37773354886940624,29.90452156525329,4,111.5255720615387,False,False,False
r2000_c5600,2000,5600,True,True,2,14.935149482691815,0.03141134176177278,6.63698089908292e-13,0.07374867598195732,9.999999999999998,0.547556807292038,2.098306647747709,0.19798794168985825,0.1347352453685852,20.3839308086122,4,256.9162518978119,False,True,True
r2000_c800,2000,800,True,True,2,4.129582355512171,0.43786875190855934,0.5845842737914555,0.15755661931270273,9.999999999999998,0.6092076082990886,1.424224103401956,0.20906639319135795,0.39055448342633503,1.6083866008147447,4,39.19257712364197,False,False,False
r2400_c1200,2400,1200,True,True,2,3.301972307738621,0.4564857461443597,0.3300154218506181,0.5809801951273047,9.999999999999998,3.999999991522885,1.642688688727673,0.1121516670072627,0.07603613698076614,1.2077042318709394,4,62.83998703956604,False,False,False
r2400_c1600,2400,1600,True,True,2,1.7323775764961193,0.42407107409201267,0.19055611884544468,0.5860618654536822,1.6213001349489167,2.320079451198578,1.2282442602689607,0.1588229900053906,0.039561436468869025,0.49909192648541495,4,53.349475145339966,False,False,False
r2400_c2000,2400,2000,True,True,2,2.2980928178754323,0.34364727819160323,0.35737419843785695,0.49666879454732077,9.99999999999713,2.4031549535994294,1.21142541097871,0.5390460388009302,0.13735910226036893,18.232907434346778,4,56.434751987457275,False,False,False
r2400_c2400,2400,2400,True,True,2,8.433263425376817,0.22078237474495532,0.5105148645159063,0.4340536592415777,9.999999999999998,3.4599370612272815,1.5959565861404483,0.1870124726167182,0.11160686555978404,6.727941017452954,4,103.4953408241272,False,False,False
r2400_c2800,2400,2800,True,True,2,0.21235173670830845,0.30026615738878626,0.7040442221447916,0.7082770634603796,1.0,0.8772748151342497,1.82169984023377,0.09112153237915498,0.14537061372345542,0.07664399524336002,4,58.08347988128662,False,False,False
