chunk,band,r_lo,r_hi,r_mid,fit_success,usable,b2,rms_resid,n_fit,b2b1,se_b2b1,b1,se_b1,pa2d,se_pa2d,alpha,se_alpha,n_ok_jk
r2000_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.037441769075658535,1.608714571800025,2050,0.5641825538843357,0.0871300783121346,0.06636463466988834,0.063288261958665,5.811030392820916,4.211552751946049,0.6385331999887003,0.06394147000517492,4
r2000_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.05914999534123156,1.4926196879892064,8360,0.5447050386627937,0.09765787395254968,0.1085908723856125,0.051102863263029784,7.878491359978289,5.345807484699387,0.643746506259939,0.062446123073123486,4
r2000_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.08002403664641566,1.3032176722812507,33460,0.5894000225575223,0.13778370015133032,0.13577202847596725,0.04913648248419934,8.80587808546107,8.88269398230669,0.5816791024900109,0.15385063041305708,4
r2000_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.03664566274493574,1.1798446435596837,132360,0.8102218640507992,0.17094042581671148,0.045229170392565625,0.058817464397961615,7.305710557985838,17.060441696673944,1.8769624648785372,0.4163397909495165,4
r2000_c2400,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,False,5.905505245575639e-09,1.214469910393228,164355,1.4097065242951774e-09,0.12911415110171154,4.189173522147287,0.8581025346180867,0.34032061132204666,7.120162337381762,0.0010000000004740425,0.05205298421531892,3
r2000_c2800,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.03531579978206094,3.1537630958634106,2050,0.4579602967550211,0.1288091791547598,0.0771154181537108,0.028384705189934575,6.994962578879679,5.62776806634335,0.8781933190123954,0.02656388608784875,4
r2000_c2800,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.048057315094155804,2.570624403775534,8360,0.41812068569622585,0.16408311599368164,0.11493646867562667,0.05202753145691675,7.390821888186396,5.790953712849828,0.8361838693686521,0.0978902105223466,4
r2000_c2800,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.04305327124286599,2.0808529611295175,33460,0.38482629630203596,0.23927728414999946,0.11187715511279682,0.07729782133951275,7.955785649777412,5.970370868045033,0.8962069891267567,0.2272618619284003,4
r2000_c2800,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.04529746735654178,1.5960515153894324,132360,0.26892730319384034,0.4892895061976087,0.16843759193870986,0.13662524605299023,8.732764017592771,6.848152960004363,0.5388631708569671,0.09860746375967758,4
r2000_c2800,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.0591591939502105,1.4696678891676416,164355,0.15963427076191822,0.09430560933268672,0.3705920643972604,2.201630213433831,10.811347374573872,116.0778954128639,0.16335395528959593,0.13036289249787059,4
r2000_c3200,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.09983324811216021,2.3788750164844386,2050,0.28080072698048436,0.024686454032125757,0.3555305899158111,0.19090766770440346,3.8417423157741024,3.577953451743298,0.64596005655035,0.09158495754859876,4
r2000_c3200,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.1961418600810643,1.9469599511735791,8360,0.23313314794330176,0.015599729942402966,0.8413297800481218,0.6790658803478884,3.9848832547498367,4.164071477788904,0.607921665570478,0.09820150978391581,4
r2000_c3200,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.11184718438217597,1.6101873480224138,33460,0.21392246640125986,0.026449604031239277,0.5228398225943288,0.11748000362635623,3.514268370148009,4.699353943224257,0.593058100090107,0.08609121469515413,4
r2000_c3200,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.8975137498796196,1.699036511555673,132360,0.17778784828912853,0.08464166439885902,5.048228877937893,3.008820153566291,3.899314172546106,129.7710203707284,0.5111484001911907,0.17057391865158839,4
r2000_c3200,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.9223398190022042,1.7812451581771984,164355,0.24070706226162245,0.13536431021317258,3.831793759336072,0.4654302096190046,4.995817346686306,125.45608422180753,0.624897279194433,0.15451300676065352,4
r2000_c3600,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.10659471748456191,3.0939553980608756,2050,0.24523009602696008,0.07962111933935662,0.43467224949764366,0.11015864246484744,9.56340086132077,2.16150034334416,0.5750736091653388,0.15579276432074488,4
r2000_c3600,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.20271713825230747,2.532402687598103,8360,0.1955634299585606,0.08211772124806685,1.0365799899053862,0.23270259706425864,9.411175385330932,2.6069911857449806,0.6241767576021646,0.13080347144067328,4
r2000_c3600,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.11953020206721589,2.0211889478002028,33460,0.14098813227093357,0.07670385699908089,0.8478032877087663,0.09513644879764431,9.124852492377261,2.7089783081536707,0.6150358178626331,0.11267540839521915,4
r2000_c3600,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.343285228904626,1.7049031117471243,132360,0.12325886442182192,0.1265146389886303,2.785075381919958,1.8228120449474292,9.227944617786614,3.8327052099039904,0.6318569463629574,0.10662028486350399,4
r2000_c3600,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.5065477065453584,1.5490529430650135,164355,0.12425318581724486,0.22164923191981292,4.076738179497492,13.00016517812376,9.025684337467773,5.488270805381123,0.5998831362597014,0.32189950295927533,4
r2400_c1200,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.040910464730879365,2.955789754483745,2050,0.26333266174598424,0.03564228174321576,0.1553565913913952,0.027810066795835184,176.91651208688012,1.1825645279422763,0.6455085137107732,0.13012538216428385,4
r2400_c1200,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.07423005676104892,2.4892324477228396,8360,0.20953067674965692,0.05319156786570719,0.3542682050788082,0.8680916088632662,176.74746458234995,1.6271687179409757,0.6089531612487097,0.08643754047110279,4
r2400_c1200,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.17268355586816894,2.211879525641738,33460,0.174460554026123,0.06708035642521334,0.9898143269813989,0.2805427369951891,177.2525492309944,2.2366740349081544,0.597724782473317,0.10521923078817856,4
r2400_c1200,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.5702620310061239,1.6635156999109475,132360,0.17585535286422427,0.07637427690715551,3.24279029166895,0.5025066575850216,177.6502280257363,129.45420349054407,0.5723075468892016,0.0854379453557836,4
r2400_c1200,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.4483107013708369,1.4209973072636355,164355,0.22683915592405096,0.11377709138051265,1.9763373723755957,0.6292016691901834,176.90951810525158,126.5615731007162,0.7154766988858475,0.2303130621615561,4
r2400_c1600,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.11667335004380508,2.3606535342394217,2050,0.279303051378582,0.02727507997949416,0.41773030931072747,0.03917933426057316,4.45414163224126,1.6380713261838722,0.7112401565038596,0.12599462568362774,4
r2400_c1600,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.201277275813571,1.695364710487336,8360,0.21050909725937741,0.02877354532244917,0.9561452613402665,0.370907678422072,4.389153631626651,1.984470748698729,0.7063384092359373,0.09252403156859954,4
r2400_c1600,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.0995717901688037,1.2161065684975572,33460,0.14640029399095034,0.03020527239450449,0.6801338129482082,0.02725391930605116,4.442549968759101,2.206740651544496,0.6682042231702812,0.07934194367910288,4
r2400_c1600,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.1113384152488619,0.994483919092499,132360,0.09321139623403625,0.03848946405579619,1.1944721326704744,0.0674044998708405,4.514279086778303,3.021296123267187,0.6084001319261539,0.05997777928901241,4
r2400_c1600,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.1111856907995297,1.0333584634531021,164355,0.0639974772252873,0.05150928778085735,1.7373449020205587,7.618038259065275,4.318191410689692,3.7040909270965883,0.5964619924115272,0.37740643698709,4
