chunk,band,r_mid_2d,r_mid_3d,b2b1_meas,b2b1_pred,b1_meas,b1_pred,pa2d_meas,pa2d_pred,a2a1_3d,a3a2_3d,usable_2d,usable_3d,usable_both,d_b2b1
r2400_c3600,4,0.26240258229115665,0.2760041632626885,0.06425564665016695,0.3426852858531717,33.04435295259296,3.4547080048898984,11.700254593905354,17.504499108309016,0.509623615360778,0.3439657894580825,True,True,True,-0.2784296392030048
r2400_c4000,0,0.01915451822365661,0.01915451822365661,0.208793890562877,0.21049206396414047,0.15370987995413954,0.11340547538787082,14.769239975046737,14.740682574583639,0.0004958474943684057,5.183913976611701e-84,True,False,False,-0.0016981734012634642
r2400_c4000,1,0.03821828837304667,0.03821828837304667,0.1636473255487926,0.1648580676602931,0.23627319082096201,0.18984403929211313,15.064306441823708,15.039040622432669,0.10455029361887144,0.03122317666755233,True,False,False,-0.0012107421115004902
r2400_c4000,2,0.07625551053335333,0.07625551053335333,0.14141300452092975,0.13537613660535464,0.285995505970881,0.32473553896095275,15.264958703947057,15.534265220537545,0.21326928697578948,0.6345524005869289,True,True,True,0.006036867915575117
r2400_c4000,3,0.15214974647591237,0.15214974647591237,0.12267316454748994,0.036634954814510644,0.3117269917901396,35.74591421682583,15.553005304015812,16.10785998483784,0.0026768572634072495,0.3365774587763946,True,False,False,0.08603820973297929
r2400_c4000,4,0.26240258229115665,0.2760041632626885,0.12350102436779335,0.4211157763065396,0.1580790731374759,7.788870842295736,15.953133263376182,21.718431645054583,0.4298028666159829,0.2295111729301773,True,True,True,-0.29761475193874626
r2400_c4400,0,0.01915451822365661,0.01915451822365661,0.22774390491769783,0.22799737268999992,0.4239335453827359,0.17568079720534283,14.22913919603561,14.229693337713574,0.0008449667489987613,0.0,True,False,False,-0.0002534677723020906
r2400_c4400,1,0.03821828837304667,0.03821828837304667,0.18238444800329146,0.17812569788123783,0.34216813735839424,0.46961426788623933,14.336249449731705,14.345310581551347,0.1786448191350931,0.6349683696087296,True,True,True,0.004258750122053623
r2400_c4400,2,0.07625551053335333,0.07625551053335333,0.1511787316557275,0.1344762567202612,0.5516844485251589,0.797636579259218,14.032452484704212,13.999930759533681,0.14064941530776923,0.5651333829283164,True,True,True,0.01670247493546631
r2400_c4400,3,0.15214974647591237,0.15214974647591237,0.1322590799029318,0.07184133246518819,0.8694390483587977,2.1773631888760123,13.365092247754742,13.625596644889912,0.11733308588407662,0.41130609400090845,True,True,True,0.0604177474377436
