chunk,band,r_lo,r_hi,r_mid,fit_success,usable,T,se_T,p,se_p,a2a1,se_a2a1,a3a2,se_a3a2,a3a1,se_a3a1,alpha,se_alpha,n_ok_jk
r2000_c3200,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9865451253475623,0.017406229381057202,1.467788633430887,0.4154425780793326,0.16481852457222784,0.04546647082955751,0.7152510864968977,0.22896495416760587,0.1178866287751016,0.05468712638398804,0.8041614074817,0.05127823224901002,4
r2000_c3200,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9775452688269803,0.0530031356809159,1.1634968285422214,0.6850535305802241,0.1846840008198432,0.10274472599057469,0.5911933312056116,0.14728330439430617,0.10918394966506301,0.029240619857568453,0.551249874597407,0.06539675487952866,4
r2000_c3200,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9662467392573287,0.1759898047760584,0.33652119950981385,1.0418488921107092,0.19037037934288387,0.2882590363102417,0.266531580916661,0.07482013713396984,0.05073971816596331,0.08937661065649147,0.30199856469460074,0.13000411434458956,4
r2000_c3200,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.8477237125236282,0.2758377292430491,-0.397870631766119,1.819944913636641,0.40293939616080016,0.4285051634174985,0.2706741062164252,0.16550934949315885,0.10906526091521065,0.16237489335154434,0.38708074939113984,0.17341981286064145,4
r2000_c3600,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,False,0.9999999433548387,nan,-238.98209903458982,nan,0.00023800243978481804,nan,3.8723492941764825e-108,nan,9.21628579713021e-112,nan,0.8891953721115915,nan,0
r2000_c3600,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9795539344152396,0.053541657111904443,0.6698537015029622,0.9326149203203895,0.14935540427995944,0.13694155617267784,0.29183320719972444,0.04712780389300507,0.04358686664363202,0.025468714257067815,0.8746892845541374,0.07343371239228784,3
r2000_c3600,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9945728765795806,nan,1.3021043995361827,nan,0.07677445733608586,nan,0.2823017114041661,nan,0.02167356069810317,nan,0.8350600480905646,nan,1
r2000_c3600,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,False,0.9999777789745421,0.14771783687795215,3.4766741313273704,0.3359695885794737,0.004771095842607582,0.18091347843410627,0.15435422852090214,0.030239989437582243,0.0007364388179849769,0.06642590955850106,0.4721809368937491,0.23266521383552977,2
r2000_c3600,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.3938690081268405,0.3320832663529621,-2.821183973105135,0.48232124205838195,0.7788740367236809,0.4670806241069666,0.04637058716855827,0.27182809138509645,0.036116846413222305,0.23118354097138558,0.32851885672000175,0.10536663246771223,3
r2000_c4000,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,False,0.9995386549549737,nan,-36.38400666791735,nan,0.02147894422513157,nan,3.393435546964463e-18,nan,7.288741284482855e-20,nan,0.7639189971886465,nan,1
r2000_c4000,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9010057695405563,0.006427182662676864,-0.2519894950966428,0.10658881180859325,0.3240288999712402,0.01408891632760268,0.25185240315617463,0.039288101819090204,0.08160745714980856,0.015776066913804537,0.7883684731708817,0.03843781177768641,3
r2000_c4000,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9170235213239682,0.005059690540106098,0.015243077502333335,0.2508333900094423,0.30127238309672627,0.002554160509808406,0.30589988043172756,0.08125475242936647,0.09215918596667019,0.02218390869610666,0.667202365534798,0.01664274234625116,3
r2000_c4000,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9349734574054925,0.12432558972755227,0.10134997371886545,0.4795893171684031,0.2660072168946533,0.16686171186116944,0.294380578030707,0.06510590021947014,0.07830735826978767,0.05303248271231203,0.5772067918077364,0.2456726082730217,3
r2000_c4000,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,False,0.9999895213710118,0.052408402666648965,3.8937775358149525,1.073815904013047,0.0032798738484444336,0.15464549430914584,0.1610286817496215,0.13142595675118737,0.000528153762120065,0.04446843347678128,0.6242151407736068,0.06427936768895151,3
r2400_c1200,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.873852883295158,0.1614440277931349,0.13747174624175873,0.4266608306005378,0.3913032078586771,0.17476609081543856,0.44896928300060845,0.031343242282341525,0.1756831206681483,0.06073858228630554,0.9671488601895831,0.15762834487154068,4
r2400_c1200,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9424477344551535,0.15724393806108322,0.2668563252134639,0.7015516877256306,0.2533180000198538,0.22120159894753985,0.3307960233470945,0.05339236512650443,0.08379658704880684,0.06701962175965004,0.6835944501375799,0.10841578166070409,4
r2400_c1200,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9497366832145359,0.14319619035674325,0.3337890753525672,0.6618375049752454,0.2368289206704593,0.2103801863791054,0.330672051120496,0.028695812045548386,0.07831270496275401,0.06037180837638294,0.5762486206084984,0.0641544702563042,4
r2400_c1200,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9815642742128841,0.13462353309023978,1.1937142262572848,0.5928284816722907,0.15888843126247926,0.26437219253755595,0.5242226465138404,0.13737327146884964,0.08329291393684932,0.1770461741899151,0.40363801127403276,0.10814850001583172,4
r2400_c1200,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.9137779458151669,0.11718845262385812,0.5275064042814788,0.2290505482265499,0.3630910099731939,0.14021506800999395,0.6153307470356597,0.04466445862078225,0.22342106240873755,0.09449838771906323,0.5644773246107209,0.1191059662053872,4
r2400_c1600,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.7356083332321212,0.09164586506141865,-0.22219510931283448,0.2617707020505275,0.5564215798517663,0.07357537547028391,0.44555965103205,0.056341494310680536,0.2479190049454549,0.003464921025725969,1.0046419731500147,0.17244745572570616,3
r2400_c1600,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.8936058976776758,0.2049817714905954,0.043582415800020424,0.8323806755175893,0.34722755970964947,0.2586552243764995,0.3626951856214607,0.10457477379691778,0.12593776422177813,0.08973122999223927,0.5891469287961456,0.02504686987243235,4
r2400_c1600,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.8244582191381006,0.31553410654893665,-0.7134203379011583,0.6496338472162748,0.42673812915419307,0.309517949309315,0.20908695258590795,0.017444106215828876,0.08922537497706183,0.06642761884268412,0.51184243413271,0.017084222308539107,4
r2400_c1600,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.767433368397342,0.26712566037890095,-1.0942782922776455,0.307554848401349,0.4872523021524288,0.2532515452598614,0.16312287821573954,0.04247478391921321,0.07948199794434936,0.06808191353615528,0.5410827602943928,0.032943187070648285,4
