chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,beta,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_beta,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,se_var_inf,theta,var_inf
r3600_c5200,3600,5200,3d,powerlaw,0.888177809902431,nan,0.4717205563971083,0.3530369080226352,0.7484026363384476,0.17447960888966688,0.49483260816180724,,424222.36151864415,,True,79.78477106192261,27938,0.4615543482983959,62.796174625605765,-120.24927196333823,-109.39303782542176,0.1,3.8967192961220407,0.1466950442501216,0.2357924826708189,0.23163574887528487,0.2643264968506861,0.0457667539801053,0.2203288127879879,,14.283341680300072,0.6110355166309235,15.272760464417907,14.774921994597285,55.62576638337246,14.283341680300072,,79.78477106192261,
r3600_c5200,3600,5200,2d,powerlaw,,nan,,,,0.19704492587628203,0.5927114271888091,,261695.35258850828,,True,,15220,,62.535520055722046,,,0.1,4.1465860170919475,,,,,0.03133394829030529,0.18256748878096024,,,,14.735347596928282,,,,,,
r3600_c5200,3600,5200,3d,weibull,0.9909721735968159,1.645050392861396,0.09501494531032699,0.00011641082681276225,0.0012251843794947675,0.1950860076931825,0.5960551205315213,9.999999999965691,375313.9470819448,,True,89.88910338479745,27938,-4.350942851739376,62.34986214555988,135.0787985246113,-90.02156892940565,0.1,3.665217025655528,0.041365282408929754,0.20335522305990744,0.013410175898885279,0.0996924181175509,0.029953511680063636,0.18336532590405016,1.121267466890922e-07,6.664519765118979,61.55432384095802,14.742776054886525,467.76502582718086,2.57759656991917,7.646812596840825,4.7528102525652406e-05,90.11089661520255,0.0006023101727291279
r3600_c5200,3600,5200,2d,weibull,,1.0069691993092456,,,,0.1970449926265163,0.5927143891391222,9.999968563971038,261695.35259219998,,True,,15220,,62.53580415402984,,,0.1,4.146586017121195,,,,,0.031333910714372956,0.18255660137838184,1.0786138317504488,,,14.739827843633641,,,,0.00016860123896937016,,0.0008660952228251259
r3600_c800,3600,800,3d,powerlaw,0.9613869190710572,nan,0.2062140656765039,0.06378281527813658,0.3093039025679033,0.09823274193602322,0.7438534063493292,,33210.54325576805,,True,77.20212374139885,17423,0.40540951401860426,12.966778555847618,-167.22616901986328,-90.0411608614475,0.1,1.3806275062701518,0.41300931269454694,0.7595954205570838,0.24299981304545848,0.23447433617189872,0.03888407508230754,0.2403896734439601,,12.023438422647287,6.503178903248461,145.0027322033323,322.4190294411931,172.36846589696958,12.023438422647287,,77.20212374139885,
r3600_c800,3600,800,2d,powerlaw,,nan,,,,0.11522914947954908,0.769004979863843,,15144.64591057269,,True,,12176,,9.728333122893252,,,0.1,1.115262866199613,,,,,0.03051217312886498,0.15987000846769536,,,,207.01299787545827,,,,,,
r3600_c800,3600,800,3d,weibull,nan,11147.242637807423,nan,nan,nan,0.11524161460068814,0.7689423966574657,9.999999612162155,28081.80912632513,,True,90.0,17423,nan,9.717230943513576,-179.33838815052982,-90.0,0.1,1.269553693299867,0.026339055632716633,0.16992366480534943,0.0064930189362111005,0.04056854904882354,0.028754112697400757,0.15929122734692738,10.947087689659876,2.5572521297909194,278.94160587913734,206.77021974829066,534.6943268404559,0.3110218186029449,2.6743243155531378,2.2572667771964078e-05,90.0,0.0005924225428702995
r3600_c800,3600,800,2d,weibull,,0.6200832933137631,,,,0.11522909990998936,0.7690238647023258,7.493323431371235,15144.645944036547,,True,,12176,,9.722755866262446,,,0.1,1.1152628674317644,,,,,0.02953092687300379,0.15586491648900894,6.4981439868457285,,,204.76087967850026,,,,0.0002656992398214121,,0.0006810725629520293
r4000_c2400,4000,2400,3d,powerlaw,0.9816504240890793,nan,0.13546219879634547,0.000662914507893904,0.004893723221564807,0.027547950836860756,0.20367408477812426,,215066.16675908022,,True,89.77200992281062,17167,-3.320739216950394,170.54579538737238,-168.67638811741227,-89.54046858778113,0.1,3.53947495528818,0.06567839899720795,0.22767071889151266,0.004625998614718437,0.04792042475612955,0.01682885120677091,0.40534373412760927,,1.1950780947357036,5.367348342399439,13.032159895774514,606.1651903307484,1.2989408012757269,1.1950780947357036,,89.77200992281062,
r4000_c2400,4000,2400,2d,powerlaw,,nan,,,,0.09682080539564684,0.6337470369289633,,171954.94785856822,,True,,12176,,169.62382223962172,,,0.1,3.7579847958144126,,,,,0.06551272089767168,0.65968941168693,,,,157.35873516884865,,,,,,
