chunk,tier,snr,incl,se_incl,b2b1,se_b2b1,a2a1,se_a2a1,a3a2,se_a3a2,alpha,rms_resid
r2000_c1200,q3,2.49114,65.47533064548873,14.773208854858405,0.3143157947637985,0.1177503965892449,0.4584186827739174,0.1739005127068733,0.4798294802482188,0.1139209179294444,0.2376934923424778,3.1554354833732376
r800_c4400,q3,2.46815,65.47957127637025,12.61554002316783,0.4822066629579099,0.1498254698244552,0.4340067245423059,0.1584635073269721,0.7609252448245082,0.1331236295810521,0.2499638449298711,4.149209889777001
r1600_c4400,q3,2.4462,55.173126825963834,9.175666757542524,0.4482268868189348,0.134883466926491,0.5347393075810878,0.1894352954954922,0.576727434546654,0.1520631993934797,0.2432416866093829,1.4041665608602467
r3600_c5200,q3,2.44065,77.18893985014128,16.318443272056463,0.511270305893395,0.23414569480862,0.4926574952826758,0.2384134410168618,0.7894997755988762,0.1734583728749231,0.1707992687762595,3.501350728698922
r1600_c5200,q3,2.31831,61.99081588866207,6.605572241565288,0.4158753315600314,0.0933103216882145,0.3188738007192159,0.2840912875600612,0.6686477137977553,0.1855368996758424,0.2683923846043251,2.8550061720970557
r3200_c5200,q3,2.31281,81.99875077244415,2.641544282655395,0.4264057607715242,0.1436323780410258,0.3430491310254379,0.1677002201305816,0.4394145297151504,0.1146331912539172,0.2183228544798839,2.6728922441516527
r2800_c2400,q4,6.95587,58.12912007758786,4.675325533939252,0.5906627678436598,0.1584673909541099,0.4021504785507735,0.140701521760974,0.8598254181745847,0.1700947292399066,0.7335264469559479,2.3684644944973807
r3200_c2400,q4,6.55299,73.07319974167831,77.36338628999873,0.1069101048017295,0.3091422430323178,0.4042708839292397,0.8529719292166383,0.2186558985144197,0.1351117065906395,0.6617358680086242,3.694900159931242
r2800_c2000,q4,6.46064,74.73414832996369,15.504697378995948,0.3808869672432408,0.0681360778699369,0.4264519984341387,0.07980772580969,0.7464003016000688,0.1362660234080832,0.6496914521399741,5.664605402587282
r2800_c2800,q4,5.97031,40.58034208381732,6.952868146861561,0.4422154486154311,0.1175966631587262,0.4575814980437401,0.1095907561266051,0.4990973897893829,0.0960013250126382,0.6824008842975798,1.7733092690510237
r1600_c2000,q4,5.79905,47.032112856877774,10.3108036616225,0.3671130648235401,0.1296334498620372,0.2864395202784714,0.140650956296301,0.4674386844016691,0.1171355241467235,0.644770389386442,1.3954137818026953
r2800_c1200,q4,5.54549,75.2865701607984,3.553247637320992,0.1644960827950781,0.0930803187078813,0.0648296099412491,0.1566109993281609,0.5728594992596167,0.0935106730105278,0.6091680147869364,3.5686057782386102
r2800_c800,q4,5.51708,70.84823379865342,2.5997867039371405,0.3874304976243757,0.0747393716666676,0.2249857843873595,0.1600001333576958,0.5304236431749922,0.0862019695885298,0.6593202555411163,3.8990624761589103
r2800_c1600,q4,5.36335,73.13199111505884,1.71451485885362,0.2731183387600782,0.0714758777135649,0.1618676068240116,0.1434621819931624,0.7378004917354088,0.0937563710420806,0.6151499296038055,3.79499954252454
r3200_c2000,q4,5.24356,76.33631586941837,103.05799691879172,0.1662769201074517,0.3686130863221333,0.7545895052934799,0.4743813889852201,0.2141017591469378,0.2687343506596714,0.594487942739378,2.828373546531668
r2400_c3200,q4,5.19339,78.34735396933425,2.7680036528170766,0.2387968888754332,0.0768976771934931,0.2595177488516153,0.0726904919750921,0.6802379039110215,0.1595510267795282,0.657746615264394,2.3361432246679676
r2400_c2000,q4,5.18143,67.4239867194181,6.835933525813116,0.2471519256974954,0.1199170829463483,0.3855579558512227,0.2705198000415205,0.466495971805609,0.0833284998946297,0.563584049795041,2.174355102274741
r2400_c1200,q4,5.15417,73.94776881967312,9.716644343777713,0.197167390662684,0.1448455603979217,0.3430590673599193,0.3215662123074573,0.4343702491339558,0.0597256400307196,0.5498590758933611,2.4348528887965033
r2400_c1600,q4,5.06145,74.97329569165335,5.60862470571171,0.1746672661989461,0.0723581225166211,0.4900589688615639,0.200903985324873,0.3197011699587265,0.0464162651131261,0.6551184476308021,1.813517298818181
r2000_c3200,q4,4.98423,82.19042828303795,2.9270945737213263,0.2316018939609543,0.0864831504686378,0.203786978233562,0.1119257470331983,0.92348426664288,0.1438434747103901,0.590527014101089,2.311908285998443
r2000_c2800,q4,4.81564,75.94892047720262,3.177736053552896,0.4240839969375039,0.1260142844074634,0.2720818307815461,0.0480973363733466,0.7313756247928868,0.1556415410481955,0.6190597070737326,2.7440924580689985
r2400_c800,q4,4.76024,82.31992114957895,3.1332914803279337,0.1020544183284705,0.093439077300638,0.1524031439921926,0.2349665947551062,0.4773393731804944,0.0605130840517331,0.4134079890125548,3.3637950908326824
r2000_c3600,q4,4.7212,84.61828176728899,4.168025508278852,0.1572707576632655,0.0740002381173423,0.2174661182921441,0.1515941593147821,0.4245295128112998,0.0838098806187187,0.5607732883500786,3.2030892841855385
r3200_c2800,q4,4.68058,73.56587421665022,127.84544387659724,0.1438062604014108,0.2838437536963371,0.9059150435767006,0.5661827192452547,0.1573240429650435,0.2291699261164905,0.539724082986548,2.5914716182930873
r2400_c2800,q4,4.66889,69.15505709644383,2.432420068912767,0.4672770846556964,0.0745733370604039,0.2779186592744324,0.0500287750145683,0.7399205139166973,0.0893327201035013,0.562951162083473,3.3601116227482395
r2400_c4400,q4,4.62391,89.60801737562542,1.2796815092501146,0.1680887385295264,0.0499053527009354,0.1741681599016919,0.0459459694778479,0.6035341978465627,0.2033115670740362,0.6267213287247229,2.9195431771752207
r2800_c3200,q4,4.5613,55.63070306870166,4.318153883224036,0.337821277863022,0.0642853828396765,0.2435754547240622,0.1486586929079748,0.4884447789177641,0.0467861040207913,0.535798703867324,2.2284905435756097
r2400_c3600,q4,4.5426,88.90181525359837,2.252398129639546,0.1545857587575783,0.0602809702869971,0.1803682257595396,0.0790708789466321,0.8520083293667893,0.126008532859823,0.4897950757192789,2.705094620422671
r2400_c2400,q4,4.51207,65.45761492885553,1.775642633798114,0.8377112524741115,0.2259121926447195,0.2708053535094351,0.1685084140490441,0.5015874387334107,0.1449241402586987,0.5361714148901497,1.7719339548696422
r3200_c800,q4,4.33559,74.01920717153672,5.035682433875102,0.4158155499471472,0.1005958285427929,0.1762677018313111,0.1005907854577551,0.7225342910489853,0.2119197487075067,0.502171698081322,3.6626020925193465
r1600_c2400,q4,4.19895,41.588991010068845,7.608342167387376,0.4873162286896544,0.0831389810858892,0.4186115592611609,0.0870197454610463,0.5946668810444945,0.0811145420871286,0.5619070367701761,1.156039404856598
r2800_c3600,q4,4.09829,60.70141148778309,2.28046404226905,0.5474037032762251,0.0671738484947346,0.2167761180196826,0.0622188529080164,0.9111188659527436,0.1265808182825214,0.5407921101510963,1.6133198943001137
r2800_c400,q4,4.05766,72.46643966876303,2.051085640726391,0.2633642844348417,0.0465475254468768,0.2106698707291794,0.1242525058788123,0.4944457225524755,0.0677444575026386,0.6298158139601313,4.046044486127008
r2400_c4000,q4,4.05736,89.45552603287062,1.4701073316157356,0.1122044665790878,0.0145275410961104,0.1377867241284568,0.0234558785265628,0.8123467045953751,0.133121386913867,0.4783202443551881,3.100975340379692
r2000_c2400,q4,4.02545,66.29789234441925,1.8336039090643452,0.5730802990605873,0.1092145740975128,0.1889894736971153,0.1078715341203125,0.6656756381099624,0.1125490318663092,0.5374448711600873,1.5404281855739284
