chunk,row,col,k,n_boot,n_ok,a2a1,a3a2,a1,a2a1_med,a3a2_med,a2a1_lo,a2a1_hi,a3a2_lo,a3a2_hi,a2a1_sd,a3a2_sd,a1_sd,a2a1_bias,a3a2_bias,cov_2121,cov_3232,cov_2132,corr,f_near_sphere
r2400_c2800,2400,2800,4,100,100,0.5852263405717091,0.28623780508212426,4.656208870852272,0.5057155190060661,0.2960780605918134,0.3740500090980585,0.7113788451137726,0.23396986945282786,0.3642017126497133,0.15855020547703907,0.09262819665004829,2.697992969514418,-0.07951082156564293,0.009840255509689144,0.025138167656811303,0.008579982814640022,-0.00548686676370633,-0.3736064765969822,0.0
r2400_c3200,2400,3200,4,100,100,0.29408663106146105,0.26629377191376463,0.5168088873040181,0.2956024554938057,0.25809671231428377,0.04325835262454291,0.5258842075839236,0.18677321740623068,0.42172325183419834,0.20209626988211227,0.13365827247603299,7.859902736196395,0.001515824432344659,-0.00819705959948086,0.04084290230026357,0.01786453380127748,0.008032363575662827,0.29736456603145867,0.0
r2400_c3600,2400,3600,4,100,100,0.2584339084253934,0.7074794722726996,0.12530279299195135,0.180347662985971,0.3422242387438654,0.015855367756970582,0.535932633815326,0.00024248881115749386,0.7078431745194598,0.24073839030916028,0.289929399818047,80.46385353840816,-0.07808624543942239,-0.36525523352883416,0.05795497256864558,0.08405905687885289,0.0035076566885921608,0.050255022463361665,0.0
r2400_c4000,2400,4000,4,100,100,0.14017563629807575,0.9350250953076785,0.29738895292203976,0.1445623578638591,0.6934764639266103,0.11527685574143934,0.1970903522221707,0.22404802546550817,0.8246113095923338,0.13998582047535413,0.2781826008904851,1.8482959010220732,0.004386721565783347,-0.2415486313810682,0.019596029934158064,0.07738555943819492,-0.028221366749177287,-0.724709629929182,0.0
r2400_c4400,2400,4400,4,100,100,0.14841073702323226,0.2768493932377408,0.8570764290723418,0.08850311160194949,0.001939302798626667,0.00482033938080114,0.21352033632409237,1.0955280191966562e-15,0.42875326545924725,0.14320107941542237,0.21440486138496417,285.32716323492167,-0.05990762542128278,-0.2749100904391142,0.020506549145742115,0.04596944458550571,0.0025720065829841427,0.08377050932534154,0.0
r2400_c800,2400,800,4,100,96,0.34140241812374184,0.3818284673786795,8.110285327968244,0.34215938197226037,0.38698005736576646,0.08640453120550545,0.5081430763334911,0.31635883420469757,0.45641072526547133,0.19506540030863942,0.06664843324802516,17.54998055766391,0.0007569638485185326,0.00515158998708698,0.03805051039756975,0.004442013654416464,0.0020836441926996166,0.16027041889491314,0.0
r2800_c1200,2800,1200,4,100,99,0.13830660998405453,0.44214349158783084,1.4063058140270985,0.10856692034362787,0.5016020263900485,0.019013704635624604,0.23514341095477478,0.3558008875186085,0.6674543985538101,0.11842985747811637,0.16819681596000913,47.62370805516516,-0.029739689640426656,0.05945853480221763,0.014025631142286948,0.02829016889908517,-0.003285493397623291,-0.16493834100566965,0.0
r2800_c1600,2800,1600,4,100,100,0.23606804912515034,0.5172538509030752,20.05262278644165,0.20738982383992927,0.5004254830893033,0.04929680078842539,0.34494024573244453,0.38077656536630705,0.6623996420336673,0.15011858386978297,0.13154278958209603,15.429771410492066,-0.02867822528522107,-0.01682836781377184,0.022535589223069058,0.017303505491039598,0.002497835742075836,0.12649179900688606,0.0
r2800_c2000,2800,2000,4,100,100,0.4995111394307942,0.4584375560810218,3.953207753046174,0.37748971870662473,0.3988444158286319,0.25876282790227867,0.5720980813793919,0.3153561433113733,0.489001596376459,0.17407712167523592,0.09258035679548295,5.847610111454717,-0.1220214207241695,-0.05959314025238993,0.030302844290734897,0.008571122464378926,8.965054627599057e-05,0.005562786511754157,0.0
r2800_c2400,2800,2400,4,100,100,0.2644293452190676,0.5870679655459061,0.8766165090607921,0.2383329468389907,0.5132360542635651,0.023694143150866723,0.4764851674870441,0.35375907177662425,0.7346527909815985,0.2228731144535136,0.17470705939878658,9.361120110896334,-0.02609639838007688,-0.07383191128234101,0.04967242514620897,0.03052255660377115,-0.014498645463474897,-0.37235680420038314,0.0
r2800_c2800,2800,2800,4,100,100,0.6506511254367126,0.4133754012936202,0.8433568357849707,0.4917395685494385,0.3731526565882176,0.321793959661246,0.6881834600576671,0.2794025782874755,0.4729694580124684,0.20355660040230633,0.09948924807471077,4.1398052954835585,-0.15891155688727404,-0.0402227447054026,0.04143528956734422,0.009898110482471339,-0.0025521300748010908,-0.1260205781487174,0.0
r2800_c3200,2800,3200,4,100,100,0.16778681441923946,0.32677290152878563,0.5084082781101895,0.1956634413795392,0.31773742992504095,0.04802487957655707,0.30356354342850866,0.2723223825564462,0.3751060291325425,0.10962016068084185,0.056904445275958296,4.178798779023296,0.027876626960299744,-0.009035471603744683,0.012016579627693588,0.0032381158921645334,0.003512099310319516,0.5630282153222067,0.0
