chunk,snr,band,r_lo,r_hi,r_mid,a1,a2,a3,alpha,beta,var_inf
r2400_c2400,4.51207,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,6.81828478902056,2.2320475586967508,0.9891291395669353,0.45723140498134957,9.999999999999998,3.6712383298847504
r2400_c2800,4.66889,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.09369207380164817,0.0366622065548492,0.028748988129352934,0.8532477199704315,2.599166755396016,0.5638844884743214
r2400_c2800,4.66889,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.29428849990268713,0.06957884972182085,0.051536820283962975,0.7888252851161514,1.0000151455747763,1.0055306375178727
r2400_c2800,4.66889,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.1859525075692317,0.04165029730909071,0.02715240864629796,0.9217634122732749,1.0000000000758031,0.817334450668368
r2400_c2800,4.66889,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,5.324586618592811,1.8599742764269735,0.7994870353503978,0.20025177365332125,9.999999999865706,1.2466437118288538
r2400_c2800,4.66889,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,5.35576316471481,3.037388600161184,1.1320839524696775,0.21997652385242172,9.999999998768809,1.4041532034522415
r2400_c3200,5.19339,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,0.13531403307412326,0.050762581358392074,0.03146105340175899,0.8434343735970942,7.559607601058786,0.560548652754794
r2400_c3200,5.19339,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,0.2709378577566634,0.0803814775564832,0.05089626182933158,0.7976390370042601,2.4342596211633216,0.8209235429285272
r2400_c3200,5.19339,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.40535429272087575,0.09431780383907301,0.06083706344149984,0.6356779364773969,7.0415924219707104,0.8052647005591427
r2400_c3200,5.19339,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,1.5226589945327325,0.362145621561424,0.09045543542240521,0.34066690927455456,4.5191373620699675,0.897833722051147
r2400_c3200,5.19339,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,0.7463296887018664,0.288697590026339,0.08334243106838542,0.5459836187637721,2.910730799111098,0.9206735045563502
r2400_c3600,4.5426,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,919.5977441287686,0.026541375567479174,2.3427058863959974e-99,0.795924305535397,9.999999999194163,0.41594173078994806
r2400_c3600,4.5426,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,8.289665530006175,0.08262110906937072,4.383547778045261e-05,0.7029132125113069,5.545265302997095,0.5089730946555014
r2400_c3600,4.5426,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,2.9650956210759967,0.23236363050542813,9.935521852502192e-05,0.6324504919053998,1.7269191963490609,0.610976270073177
r2400_c3600,4.5426,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,0.5974172686032,0.07998062110110213,0.07766234307223245,0.37748503251103893,8.34408588452676,0.6655476423339585
r2400_c3600,4.5426,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,6.650616193064072,3.389311068686246,1.165807057459682,0.2042690385202535,9.999999999944336,1.0329661872355065
r2400_c4000,4.05736,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,91.64358216014475,0.0454412405890529,2.3556348220416624e-85,0.7739181030917948,9.99999999999998,0.5237269426799723
r2400_c4000,4.05736,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,1.8105051337416067,0.18928884333115908,0.005910198996525415,0.7245399262934026,9.999999997943181,0.6352096277861681
r2400_c4000,4.05736,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,0.3247397523021468,0.06925701542617334,0.04394720539616426,0.6181514746173872,2.8789420778780457,0.7736492381281971
r2400_c4000,4.05736,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,503.8514675086584,1.348738460478954,0.4539549635819931,0.12422099414877352,9.999999999999998,0.972557035053133
r2400_c4000,4.05736,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,7.800765450477898,3.3527913524143194,0.7695030758827659,0.15058453921149006,9.999999999999998,1.1068463647604594
r2400_c4400,4.62391,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,64.64274207619654,0.054620967618489225,0.0,0.7182091681201109,9.999999999970719,0.6290852973486967
